,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
OG68,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
OG69,0.0,8.0,1.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
OG70,6.0,4.0,2.0,6.0,2.0,6.0,4.0,5.0,4.0,1.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0
OG71,464.0,637.0,353.0,545.0,692.0,513.0,740.0,665.0,775.0,587.0,230.0,757.0,379.0,552.0,528.0,324.0,471.0,609.0
OG72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
OG73,159.0,227.0,166.0,144.0,172.0,145.0,281.0,212.0,275.0,66.0,16.0,65.0,131.0,140.0,112.0,72.0,67.0,121.0
OG74,33.0,51.0,48.0,44.0,37.0,30.0,2.0,1.0,3.0,82.0,35.0,156.0,68.0,182.0,152.0,80.0,82.0,106.0
OG75,263.0,341.0,291.0,242.0,283.0,203.0,92.0,69.0,72.0,559.0,182.0,590.0,315.0,835.0,628.0,327.0,279.0,390.0
OG76,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0
OG77,131.0,207.0,186.0,299.0,191.0,197.0,11.0,8.0,5.0,452.0,156.0,385.0,317.0,1068.0,1137.0,353.0,429.0,531.0
OG78,2.0,4.0,2.0,13.0,8.0,6.0,5.0,9.0,8.0,0.0,0.0,3.0,9.0,8.0,11.0,3.0,3.0,2.0
OG79,7.0,11.0,13.0,9.0,12.0,8.0,8.0,3.0,4.0,14.0,2.0,18.0,13.0,11.0,12.0,0.0,3.0,6.0
OG80,221.0,238.0,138.0,322.0,426.0,245.0,433.0,340.0,406.0,239.0,73.0,293.0,67.0,44.0,44.0,112.0,111.0,153.0
OG81,72.0,82.0,47.0,101.0,107.0,108.0,154.0,103.0,139.0,30.0,33.0,48.0,43.0,37.0,44.0,62.0,64.0,87.0
OG82,630.0,999.0,783.0,626.0,714.0,477.0,321.0,213.0,259.0,1338.0,475.0,1452.0,804.0,1913.0,1180.0,741.0,597.0,1009.0
OG83,4.0,3.0,1.0,2.0,7.0,5.0,4.0,1.0,8.0,3.0,2.0,3.0,8.0,10.0,1.0,3.0,1.0,0.0
OG84,23.0,21.0,10.0,31.0,36.0,19.0,41.0,32.0,39.0,16.0,5.0,23.0,0.0,0.0,0.0,16.0,10.0,30.0
OG85,10.0,24.0,5.0,12.0,10.0,7.0,16.0,8.0,10.0,17.0,5.0,21.0,29.0,25.0,17.0,0.0,0.0,0.0
OG86,21.0,10.0,7.0,3.0,6.0,2.0,0.0,0.0,2.0,16.0,2.0,10.0,12.0,14.0,8.0,4.0,2.0,1.0
OG87,4.0,6.0,0.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0
OG88,4.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,3.0,5.0,2.0,7.0,8.0,7.0,5.0,6.0,8.0,1.0
OG89,18.0,4.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,4.0,1.0,3.0,12.0,2.0,3.0,5.0,1.0,1.0
OG90,177.0,225.0,217.0,228.0,202.0,169.0,58.0,35.0,61.0,361.0,131.0,347.0,319.0,662.0,694.0,224.0,318.0,378.0
OG91,12.0,12.0,11.0,2.0,10.0,6.0,13.0,10.0,14.0,2.0,0.0,0.0,8.0,9.0,12.0,9.0,3.0,7.0
OG92,22.0,7.0,12.0,12.0,14.0,9.0,2.0,3.0,1.0,9.0,12.0,18.0,18.0,22.0,37.0,11.0,8.0,20.0
OG93,10.0,13.0,8.0,16.0,15.0,14.0,11.0,11.0,7.0,16.0,8.0,20.0,44.0,47.0,32.0,0.0,0.0,0.0
OG94,75.0,97.0,55.0,123.0,95.0,90.0,164.0,125.0,132.0,68.0,19.0,73.0,35.0,58.0,40.0,78.0,49.0,82.0
OG95,3.0,8.0,5.0,3.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,11.0,7.0,17.0,18.0,5.0,2.0,11.0
OG96,4.0,3.0,5.0,8.0,4.0,5.0,4.0,3.0,2.0,6.0,3.0,6.0,4.0,6.0,7.0,4.0,4.0,9.0
OG97,31.0,30.0,22.0,43.0,45.0,20.0,29.0,39.0,36.0,28.0,17.0,47.0,16.0,33.0,42.0,16.0,16.0,30.0
OG98,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
OG99,90.0,112.0,80.0,157.0,145.0,147.0,264.0,211.0,231.0,90.0,26.0,108.0,53.0,58.0,40.0,75.0,33.0,87.0
OG100,521.0,719.0,439.0,1082.0,1343.0,747.0,1043.0,631.0,905.0,850.0,276.0,1042.0,536.0,933.0,777.0,565.0,650.0,995.0
OG101,5.0,4.0,1.0,2.0,3.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,3.0,6.0,2.0,0.0,4.0
OG102,185.0,236.0,126.0,356.0,478.0,220.0,458.0,311.0,427.0,246.0,96.0,300.0,40.0,34.0,39.0,163.0,148.0,268.0
OG103,343.0,391.0,270.0,528.0,530.0,382.0,621.0,504.0,670.0,334.0,136.0,488.0,307.0,446.0,432.0,300.0,261.0,466.0
OG104,237.0,252.0,174.0,310.0,356.0,186.0,358.0,243.0,327.0,252.0,57.0,322.0,121.0,190.0,162.0,137.0,132.0,219.0
OG105,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
OG106,14.0,4.0,8.0,13.0,15.0,9.0,11.0,9.0,15.0,9.0,3.0,3.0,14.0,15.0,22.0,4.0,10.0,28.0
OG107,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0
OG108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG109,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
