0,sample_1A,sample_1B,sample_1C,sample_2A,sample_2B,sample_2C,sample_3A,sample_3B,sample_3C,sample_4A,sample_4B,sample_4C,sample_5A,sample_5B,sample_5C,sample_6A,sample_6B,sample_6C
NLANBGKA_00193,2,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0
NLANBGKA_00194,427,631,35,0,0,0,19,184,63,237,41,35,728,93,132,13,19,46
NLANBGKA_00195,216,275,13,0,0,0,6,91,16,76,25,18,255,34,35,2,5,15
NLANBGKA_00196,253,442,26,0,0,0,20,147,53,161,38,45,918,137,134,9,9,44
NLANBGKA_00197,2300,3414,185,1,0,0,96,945,268,1221,201,226,3200,413,465,28,50,182
NLANBGKA_00198,36,57,4,0,0,0,2,18,6,25,3,5,63,6,7,0,3,3
NLANBGKA_00199,50,61,4,0,0,0,2,9,4,23,3,3,38,6,9,0,1,3
NLANBGKA_00200,325,539,32,0,0,0,24,139,34,196,33,51,487,76,106,4,10,18
NLANBGKA_00201,672,941,57,0,0,0,30,216,64,338,78,68,977,130,140,7,17,37
NLANBGKA_00202,1653,2167,97,0,0,0,83,557,149,841,142,160,1826,272,256,13,44,88
NLANBGKA_00203,52,130,3,0,0,0,1,14,9,41,5,5,118,13,16,0,0,4
NLANBGKA_00204,67,108,7,0,0,0,4,27,8,47,3,17,145,18,12,0,4,7
NLANBGKA_00205,17,47,2,0,0,0,2,8,5,17,4,2,65,8,7,1,1,1
NLANBGKA_00206,30,42,4,0,0,0,1,9,2,16,1,2,57,8,19,1,0,8
NLANBGKA_00207,6,9,1,0,0,0,1,3,1,5,1,4,24,7,7,0,0,1
NLANBGKA_00208,887,1472,88,0,0,0,52,491,115,571,105,87,1836,216,246,16,42,101
NLANBGKA_00209,275,485,27,0,0,0,17,151,40,168,36,33,715,75,91,6,11,37
NLANBGKA_00210,171,282,13,0,0,0,7,80,28,124,32,17,451,59,73,0,16,29
NLANBGKA_00211,152,260,18,0,0,0,12,68,27,89,19,19,395,54,96,4,5,25
NLANBGKA_00212,157,265,11,0,0,0,9,46,19,74,10,15,363,49,60,1,4,19
NLANBGKA_00213,1757,2473,117,0,0,1,70,675,180,960,127,146,2507,313,264,17,25,91
NLANBGKA_00214,259,435,37,0,0,0,16,101,42,154,31,28,375,70,79,1,4,19
NLANBGKA_00215,3154,4473,221,0,0,0,117,1256,335,1593,281,269,4117,593,759,32,82,262
NLANBGKA_00216,21,47,2,0,0,0,0,12,7,14,2,1,36,2,5,1,0,0
NLANBGKA_00217,2164,2567,172,0,0,0,96,764,250,1090,163,185,3900,457,499,31,54,159
NLANBGKA_00218,2559,3954,246,0,0,0,119,1031,274,1447,256,277,5098,694,670,26,74,181
NLANBGKA_00219,1371,2034,87,0,1,0,47,516,166,639,114,105,1974,268,358,27,38,89
NLANBGKA_00220,6618,11435,590,0,0,0,334,2982,930,3981,754,758,13355,1819,2314,147,187,599
NLANBGKA_00221,10176,12487,676,1,0,0,358,3287,997,4775,773,743,14802,1734,1712,117,196,657
NLANBGKA_00222,12012,18299,823,0,0,1,463,4459,1239,6331,1221,1003,18655,2594,2869,148,299,976
NLANBGKA_00223,3806,6239,273,0,0,0,110,1485,386,2065,460,368,6959,883,812,49,111,312
NLANBGKA_00224,301,382,16,0,0,0,19,96,29,176,35,28,460,76,52,2,14,33
NLANBGKA_00225,17609,24408,1408,4,1,2,882,7052,2474,9064,1948,1815,38920,5588,8961,375,963,2230
NLANBGKA_00226,1508,1976,116,0,0,0,56,645,195,777,132,151,3598,488,665,32,68,160
NLANBGKA_00227,1322,1750,72,0,0,0,41,386,117,550,101,89,1747,199,227,8,16,39
NLANBGKA_00228,1341,2081,95,0,0,0,54,437,125,645,93,132,1669,224,318,14,13,56
NLANBGKA_00229,2380,3364,169,0,0,0,63,682,185,996,200,191,2740,308,283,7,21,72
NLANBGKA_00230,46,77,6,0,0,0,1,18,6,32,5,1,59,9,8,1,0,2
NLANBGKA_00231,806,1168,54,0,1,0,37,301,76,390,59,69,878,103,222,2,15,46
NLANBGKA_00232,349,490,31,0,0,0,37,181,44,202,68,39,779,106,89,7,9,37
NLANBGKA_00233,52,57,7,0,0,0,5,20,3,26,6,4,127,16,16,0,1,5
NLANBGKA_00234,30,64,0,0,0,0,1,12,7,17,7,4,96,18,28,4,1,2
NLANBGKA_00235,184,290,19,0,0,0,10,80,35,100,16,20,584,63,73,1,5,18
NLANBGKA_00236,12,8,1,0,0,0,0,1,2,1,0,0,14,1,6,0,0,0
NLANBGKA_00237,294,409,23,0,0,0,12,101,24,139,29,25,528,91,74,5,9,20
NLANBGKA_00238,13,25,1,0,0,0,0,6,3,6,1,3,25,1,3,0,1,0
NLANBGKA_00239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NLANBGKA_00240,13,25,2,0,0,0,3,13,2,6,0,2,21,2,1,0,1,1
NLANBGKA_00241,42,61,2,0,0,0,8,15,3,16,6,0,23,3,3,2,2,1
NLANBGKA_00242,789,1141,50,0,0,0,38,274,71,400,73,69,1360,173,231,8,15,55
NLANBGKA_00243,1906,2429,135,0,0,0,80,640,184,913,163,197,2717,374,364,25,32,106
NLANBGKA_00244,36,35,2,0,0,0,0,10,2,14,0,1,43,4,2,1,2,2
NLANBGKA_00245,812,1207,57,0,0,0,41,321,101,449,87,97,1193,172,149,14,18,84
NLANBGKA_00246,23,46,7,0,0,0,18,29,21,30,13,19,51,26,59,5,13,28
NLANBGKA_00247,1,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
NLANBGKA_00248,4,10,1,0,0,0,0,5,0,4,0,0,5,0,0,0,1,4
NLANBGKA_00249,158,253,11,0,0,0,16,83,11,101,26,27,458,58,98,0,5,16
NLANBGKA_00250,14,33,1,0,0,0,1,7,1,10,3,1,55,10,6,0,0,0
NLANBGKA_00251,4,16,2,0,0,0,0,8,3,3,1,3,21,2,6,0,0,0
NLANBGKA_00252,5,7,0,0,0,0,0,7,0,2,0,0,9,2,1,1,0,0
NLANBGKA_00253,6,4,0,0,0,0,1,4,2,1,3,0,4,0,0,0,0,0
NLANBGKA_00254,421,571,24,0,0,0,23,153,46,219,36,34,608,76,76,3,13,28
NLANBGKA_00255,89,115,4,0,0,0,2,42,5,52,9,10,165,20,28,2,3,12
NLANBGKA_00256,585,824,45,0,0,0,17,201,71,308,47,62,821,121,119,5,17,39
NLANBGKA_00257,66,108,4,0,0,0,5,36,9,34,10,8,931,105,183,2,6,5
NLANBGKA_00258,888,1300,72,0,0,0,53,379,136,489,127,107,7326,844,828,14,33,87
NLANBGKA_00259,582,824,48,0,0,0,34,196,61,254,58,62,3392,395,450,7,24,51
NLANBGKA_00260,351,522,28,0,0,0,30,150,52,195,34,48,2166,284,432,19,25,48
NLANBGKA_00261,757,1033,74,0,0,0,65,297,120,380,71,101,4164,515,1002,20,81,117
NLANBGKA_00262,39,73,4,0,0,0,2,19,2,23,3,4,317,37,59,0,1,0
NLANBGKA_00263,11,16,0,0,0,0,0,5,4,11,1,1,116,8,22,0,1,3
NLANBGKA_00264,11,34,2,0,0,0,0,11,2,5,1,4,96,16,25,0,0,0
NLANBGKA_00265,13,19,0,0,0,0,2,2,2,5,0,1,65,2,16,0,0,1
NLANBGKA_00266,0,1,0,0,0,0,1,0,0,0,0,0,3,2,2,0,0,0
NLANBGKA_00267,1374,2274,115,0,0,0,86,721,199,959,249,158,4966,679,783,37,58,215
NLANBGKA_00268,606,979,55,0,0,0,52,337,100,362,81,70,2032,288,318,8,26,97
NLANBGKA_00269,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
NLANBGKA_00274,510,879,42,0,0,0,15,156,41,221,51,51,887,137,134,4,16,46
NLANBGKA_00275,1512,2151,107,1,0,0,76,508,200,797,134,172,1430,199,260,20,68,144
NLANBGKA_00276,3723,5839,310,0,0,0,190,1369,407,2030,454,419,4367,652,670,56,101,258
