Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00055	29	52	3	9	34	16	40	5	11	243	37	60	6	4	12	5	6	7	33	15	23	13	9	19	25	29	45	67	24	25	22.94	6	24	14	33	39	5.701	2.511	5.067	4.03901910241613e-07	1.339900684845e-05	0.0723	0.0722	0.0722	0.0722	TRUE	0.14
NLANBGKA_00964	3662	4932	250	176	1447	454	1880	373	343	6789	882	1148	61	232	452	633	577	549	646	643	647	606	643	578	705	695	852	680	1412	949	721.07	586	645	609	751	1014	1.748	0.806	5.059	4.2232008706283e-07	1.3711924528891e-05	0.0186	0.0117	0.0148	0.0148	TRUE	0.0701
NLANBGKA_00390	311	380	22	30	181	64	176	38	33	1421	195	189	13	21	45	54	44	48	110	80	91	57	66	56	148	154	140	145	128	94	94.33	49	94	60	147	122	2.294	1.198	4.974	6.54405462063416e-07	1.95808379433093e-05	0	0.0249	0.0164	0.0164	TRUE	0.1838
NLANBGKA_01521	1581	2395	120	71	798	234	963	159	195	3659	518	728	33	96	235	273	280	264	261	354	334	310	274	329	380	408	540	368	584	493	363.55	272	316	304	443	482	1.804	0.851	4.959	7.07504344650724e-07	2.07625313449424e-05	0.0153	0.0137	0.0145	0.0145	TRUE	0.0567
NLANBGKA_00323	570	762	41	21	235	105	352	67	66	669	113	211	10	51	136	99	89	90	77	104	150	113	116	111	70	89	157	112	310	285	131.44	93	110	113	105	236	2.688	1.426	4.916	8.82276942975072e-07	2.44791748178175e-05	0.0793	0.0206	0.0457	0.0457	TRUE	0.4149
NLANBGKA_00997	642	938	44	30	220	75	330	68	59	1140	149	253	12	56	97	111	110	97	110	98	107	106	117	99	118	117	188	134	341	204	137.14	106	105	107	141	226	2.154	1.107	4.729	2.25323129512044e-06	6.1400552792032e-05	0.0317	0.0202	0.0252	0.0252	TRUE	0.0542
NLANBGKA_00960	1541	2318	125	106	976	293	935	136	139	5662	688	644	32	71	240	267	271	275	389	434	418	301	235	234	588	542	478	357	432	504	381.59	271	414	257	536	431	1.668	0.738	4.695	2.67180347742719e-06	7.03310561543937e-05	0.0089	0.0135	0.0109	0.0109	TRUE	0.0769
NLANBGKA_01793	872	1247	76	64	362	116	476	95	125	1076	206	186	33	64	108	151	146	167	235	161	165	153	164	211	112	162	138	368	389	227	196.61	155	187	176	137	328	2.035	1.025	4.662	3.13081737989368e-06	7.96271220286294e-05	0.0299	0.017	0.0239	0.0239	TRUE	0.4708
NLANBGKA_01097	85	129	10	5	31	12	55	10	10	139	28	46	4	18	19	15	15	22	18	14	17	18	17	17	14	22	34	45	110	40	27.83	17	16	17	23	65	3.868	1.952	4.606	4.10582743388989e-06	0.000102712994493704	0.0859	0.0612	0.0727	0.0727	TRUE	0.3425
NLANBGKA_00051	56	81	10	10	45	19	42	10	15	228	47	38	6	7	19	10	9	22	37	20	27	14	17	25	24	37	28	67	43	40	27.95	14	28	19	30	50	4.077	2.028	4.57	4.87273802583224e-06	0.000114396895806462	0.0772	0.061	0.0688	0.0688	TRUE	0.1678
