Id	sample_1A	sample_1B	sample_1C	sample_3A	sample_3B	sample_3C	sample_4A	sample_4B	sample_4C	sample_5A	sample_5B	sample_5C	sample_6A	sample_6B	sample_6C	norm.sample_1A	norm.sample_1B	norm.sample_1C	norm.sample_3A	norm.sample_3B	norm.sample_3C	norm.sample_4A	norm.sample_4B	norm.sample_4C	norm.sample_5A	norm.sample_5B	norm.sample_5C	norm.sample_6A	norm.sample_6B	norm.sample_6C	baseMean	All	minus 5614	minus 6086	minus 10675	minus SICO	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
NLANBGKA_00974	416	657	36	27	216	57	282	44	61	1267	205	144	9	17	53	72	77	79	99	96	81	91	76	103	132	162	107	100	103	111	99.26	76	92	90	134	105	1.768	0.822	4.645	3.40544413138117e-06	4.20202193254772e-05	0.0099	0.0242	0.0174	0.0174	TRUE	0.0464
NLANBGKA_00990	230	355	35	14	114	44	132	28	37	846	137	165	3	14	34	40	42	77	51	51	63	43	48	62	88	108	122	33	85	71	65.63	53	55	51	106	63	2.206	1.141	4.584	4.56416009537228e-06	5.39711931277772e-05	0.042	0.0316	0.0365	0.0365	TRUE	0.1717
NLANBGKA_01521	1581	2395	120	71	798	234	963	159	195	3659	518	728	33	96	235	273	280	264	261	354	334	310	274	329	380	408	540	368	584	493	363.55	272	316	304	443	482	1.612	0.689	4.579	4.67835605618918e-06	5.44146495387906e-05	0.0153	0.0137	0.0145	0.0145	TRUE	0.0567
NLANBGKA_00603	268	377	20	10	117	54	167	41	24	990	91	145	12	12	33	46	44	44	37	52	77	54	71	40	103	72	108	134	73	69	68.22	45	55	55	94	92	2.105	1.074	4.564	5.02795578914103e-06	5.75376553612187e-05	0.0329	0.0307	0.0315	0.0315	TRUE	0.1558
NLANBGKA_01727	517	915	61	41	296	93	376	76	82	1658	200	289	16	27	61	89	107	134	151	131	133	121	131	138	172	158	214	178	164	128	143.38	110	138	130	181	157	1.717	0.78	4.526	6.02366796077464e-06	6.7837974891581e-05	0.0152	0.0197	0.0174	0.0174	TRUE	0.157
NLANBGKA_01639	163	275	16	10	65	21	66	29	26	672	86	120	2	7	23	28	32	35	37	29	30	21	50	44	70	68	89	22	43	48	43.06	32	32	38	76	38	2.42	1.275	4.497	6.90278542859231e-06	7.65238478372851e-05	0.0498	0.043	0.0462	0.0462	TRUE	1.0001
NLANBGKA_00811	8	10	1	0	2	3	6	3	2	49	18	34	3	0	4	1	1	2	0	1	4	2	5	3	5	14	25	33	0	8	7.12	1	2	3	15	14	10.584	3.404	4.432	9.32164805146382e-06	0.000102538128566102	0.3887	0.2111	0.2837	0.2837	TRUE	0.0617
NLANBGKA_00876	469	647	35	18	195	58	218	41	43	1156	150	240	10	24	63	81	76	77	66	87	83	70	71	72	120	118	178	112	146	132	99.25	78	79	71	139	130	1.761	0.817	4.426	9.61255494829493e-06	0.000104924734397158	0.0151	0.0242	0.0193	0.0193	TRUE	0.2505
NLANBGKA_00863	121	187	7	9	60	12	70	12	21	497	51	77	1	2	12	21	22	15	33	27	17	23	21	35	52	40	57	11	12	25	27.41	19	26	26	50	16	2.428	1.28	4.413	1.02127304027763e-05	0.000110624919401066	0.0169	0.062	0.0448	0.0448	TRUE	0.3024
NLANBGKA_01640	108	181	11	3	49	12	77	30	13	536	74	58	2	5	9	19	21	24	11	22	17	25	52	22	56	58	43	22	30	19	29.4	21	17	33	52	24	2.549	1.35	4.375	1.21460553205182e-05	0.000130570094695571	0.0433	0.0585	0.0524	0.0524	TRUE	0.4523
NLANBGKA_00678	619	959	54	46	306	91	330	73	50	2547	205	234	10	12	48	107	112	119	169	136	130	106	126	84	265	162	174	112	73	101	131.6	113	145	105	200	95	1.815	0.86	4.361	1.29730543758016e-05	0.000136361215994536	0.0272	0.0206	0.024	0.024	TRUE	0.409
NLANBGKA_01628	2772	3833	189	139	1087	300	1423	220	271	5662	795	939	45	80	234	479	448	415	510	483	428	459	379	457	588	626	697	502	487	491	496.67	447	474	432	637	493	1.406	0.491	4.361	1.29693902297003e-05	0.000136361215994536	0.0048	0.0126	0.008	0.008	TRUE	0.0439
NLANBGKA_00805	180	227	15	4	73	33	105	20	22	558	73	146	0	10	18	31	27	33	15	32	47	34	34	37	58	58	108	0	61	38	40.84	30	31	35	75	33	2.496	1.32	4.332	1.4775448972562e-05	0.000151626469976554	0.0698	0.0448	0.0544	0.0544	TRUE	0.0546
