ID	sample_1C
NLANBGKA_00164	6
NLANBGKA_00165	59
NLANBGKA_00166	68
NLANBGKA_00167	42
NLANBGKA_00168	9
NLANBGKA_00169	183
NLANBGKA_00170	0
NLANBGKA_00171	1
NLANBGKA_00172	538
NLANBGKA_00173	7
NLANBGKA_00174	4
NLANBGKA_00175	13
NLANBGKA_00176	18
NLANBGKA_00177	2
NLANBGKA_00178	5
NLANBGKA_00179	54
NLANBGKA_00180	11
NLANBGKA_00181	30
NLANBGKA_00182	3
NLANBGKA_00183	297
NLANBGKA_00184	2
NLANBGKA_00185	0
NLANBGKA_00186	0
NLANBGKA_00187	10
NLANBGKA_00188	1
NLANBGKA_00189	0
NLANBGKA_00190	0
NLANBGKA_00191	58
NLANBGKA_00192	0
NLANBGKA_00193	0
NLANBGKA_00194	35
NLANBGKA_00195	13
NLANBGKA_00196	26
NLANBGKA_00197	185
NLANBGKA_00198	4
NLANBGKA_00199	4
NLANBGKA_00200	32
NLANBGKA_00201	57
NLANBGKA_00202	97
NLANBGKA_00203	3
NLANBGKA_00204	7
NLANBGKA_00205	2
NLANBGKA_00206	4
NLANBGKA_00207	1
NLANBGKA_00208	88
NLANBGKA_00209	27
NLANBGKA_00210	13
NLANBGKA_00211	18
NLANBGKA_00212	11
NLANBGKA_00213	117
NLANBGKA_00214	37
NLANBGKA_00215	221
NLANBGKA_00216	2
NLANBGKA_00217	172
NLANBGKA_00218	246
NLANBGKA_00219	87
NLANBGKA_00220	590
NLANBGKA_00221	676
NLANBGKA_00222	823
NLANBGKA_00223	273
NLANBGKA_00224	16
NLANBGKA_00225	1408
NLANBGKA_00226	116
NLANBGKA_00227	72
NLANBGKA_00228	95
NLANBGKA_00229	169
NLANBGKA_00230	6
NLANBGKA_00231	54
NLANBGKA_00232	31
NLANBGKA_00233	7
NLANBGKA_00234	0
NLANBGKA_00235	19
NLANBGKA_00236	1
NLANBGKA_00237	23
NLANBGKA_00238	1
NLANBGKA_00239	0
NLANBGKA_00240	2
NLANBGKA_00241	2
NLANBGKA_00242	50
NLANBGKA_00243	135
NLANBGKA_00244	2
NLANBGKA_00245	57
NLANBGKA_00246	7
NLANBGKA_00247	2
NLANBGKA_00248	1
NLANBGKA_00249	11
NLANBGKA_00250	1
NLANBGKA_00251	2
NLANBGKA_00252	0
NLANBGKA_00253	0
NLANBGKA_00254	24
NLANBGKA_00255	4
NLANBGKA_00256	45
NLANBGKA_00257	4
NLANBGKA_00258	72
NLANBGKA_00259	48
NLANBGKA_00260	28
NLANBGKA_00261	74
NLANBGKA_00262	4
NLANBGKA_00263	0
NLANBGKA_00264	2
NLANBGKA_00265	0
NLANBGKA_00266	0
NLANBGKA_00267	115
NLANBGKA_00268	55
NLANBGKA_00269	0
NLANBGKA_00274	42
NLANBGKA_00275	107
NLANBGKA_00276	310
NLANBGKA_00277	34
NLANBGKA_00278	58
NLANBGKA_00279	12
NLANBGKA_00281	12
NLANBGKA_00282	37
NLANBGKA_00283	204
NLANBGKA_00284	75
NLANBGKA_00285	85
NLANBGKA_00286	5
NLANBGKA_00287	47
NLANBGKA_00288	5
NLANBGKA_00289	44
NLANBGKA_00290	22
NLANBGKA_00291	0
NLANBGKA_00292	9
NLANBGKA_00293	9
NLANBGKA_00294	16
NLANBGKA_00295	33
NLANBGKA_00296	2
NLANBGKA_00297	66
NLANBGKA_00298	68
NLANBGKA_00299	12
NLANBGKA_00300	141
NLANBGKA_00301	14
NLANBGKA_00302	0
NLANBGKA_00303	15
NLANBGKA_00304	10
NLANBGKA_00305	5
NLANBGKA_00306	4
NLANBGKA_00307	10
NLANBGKA_00308	29
NLANBGKA_00309	101
NLANBGKA_00310	11
NLANBGKA_00311	61
NLANBGKA_00312	29
NLANBGKA_00313	47
NLANBGKA_00314	28
NLANBGKA_00315	27
NLANBGKA_00316	0
NLANBGKA_00317	0
NLANBGKA_00318	8
NLANBGKA_00319	12
NLANBGKA_00320	1
