ID	sample_6A
NLANBGKA_00543	0
NLANBGKA_00544	0
NLANBGKA_00545	16
NLANBGKA_00546	13
NLANBGKA_00547	4
NLANBGKA_00548	3
NLANBGKA_00549	13
NLANBGKA_00550	16
NLANBGKA_00551	14
NLANBGKA_00552	0
NLANBGKA_00553	1
NLANBGKA_00554	1
NLANBGKA_00555	0
NLANBGKA_00556	0
NLANBGKA_00557	1
NLANBGKA_00558	0
NLANBGKA_00559	0
NLANBGKA_00560	0
NLANBGKA_00561	21
NLANBGKA_00562	128
NLANBGKA_00563	0
NLANBGKA_00564	0
NLANBGKA_00565	0
NLANBGKA_00566	0
NLANBGKA_00567	2
NLANBGKA_00568	2
NLANBGKA_00569	0
NLANBGKA_00570	0
NLANBGKA_00571	0
NLANBGKA_00572	1
NLANBGKA_00573	0
NLANBGKA_00574	0
NLANBGKA_00575	1
NLANBGKA_00576	0
NLANBGKA_00577	0
NLANBGKA_00578	0
NLANBGKA_00579	58
NLANBGKA_00580	14
NLANBGKA_00581	16
NLANBGKA_00582	0
NLANBGKA_00583	0
NLANBGKA_00584	2
NLANBGKA_00585	1
NLANBGKA_00586	2
NLANBGKA_00587	1
NLANBGKA_00588	0
NLANBGKA_00589	0
NLANBGKA_00590	0
NLANBGKA_00591	5
NLANBGKA_00592	1
NLANBGKA_00593	3
NLANBGKA_00594	7
NLANBGKA_00595	5
NLANBGKA_00596	0
NLANBGKA_00597	19
NLANBGKA_00598	0
NLANBGKA_00599	0
NLANBGKA_00600	2
NLANBGKA_00601	79
NLANBGKA_00602	18
NLANBGKA_00603	12
NLANBGKA_00604	0
NLANBGKA_00605	1
NLANBGKA_00606	11
NLANBGKA_00607	6
NLANBGKA_00608	33
NLANBGKA_00609	0
NLANBGKA_00610	25
NLANBGKA_00611	4
NLANBGKA_00612	0
NLANBGKA_00613	0
NLANBGKA_00614	0
NLANBGKA_00615	0
NLANBGKA_00616	14
NLANBGKA_00617	14
NLANBGKA_00618	1
NLANBGKA_00619	0
NLANBGKA_00620	3
NLANBGKA_00621	0
NLANBGKA_00622	0
NLANBGKA_00623	2
NLANBGKA_00624	3
NLANBGKA_00625	0
NLANBGKA_00626	4
NLANBGKA_00627	11
NLANBGKA_00628	15
NLANBGKA_00629	25
NLANBGKA_00630	13
NLANBGKA_00631	4
NLANBGKA_00632	25
NLANBGKA_00633	0
NLANBGKA_00634	0
NLANBGKA_00635	0
NLANBGKA_00636	0
NLANBGKA_00637	0
NLANBGKA_00638	0
NLANBGKA_00639	0
NLANBGKA_00640	0
NLANBGKA_00641	0
NLANBGKA_00642	0
NLANBGKA_00643	0
NLANBGKA_00644	0
NLANBGKA_00645	1
NLANBGKA_00646	4
NLANBGKA_00647	9
NLANBGKA_00648	9
NLANBGKA_00649	0
NLANBGKA_00650	2
NLANBGKA_00651	2
NLANBGKA_00652	0
NLANBGKA_00653	1
NLANBGKA_00654	1
NLANBGKA_00655	0
NLANBGKA_00656	0
NLANBGKA_00657	59
NLANBGKA_00658	21
NLANBGKA_00659	7
NLANBGKA_00660	5
NLANBGKA_00661	13
NLANBGKA_00662	19
NLANBGKA_00663	42
NLANBGKA_00664	4
NLANBGKA_00665	1
NLANBGKA_00666	17
NLANBGKA_00667	1344
NLANBGKA_00668	0
NLANBGKA_00669	2
NLANBGKA_00670	182
NLANBGKA_00671	125
