ID	sample_6B
NLANBGKA_00176	3
NLANBGKA_00177	1
NLANBGKA_00178	0
NLANBGKA_00179	21
NLANBGKA_00180	13
NLANBGKA_00181	19
NLANBGKA_00182	1
NLANBGKA_00183	79
NLANBGKA_00184	0
NLANBGKA_00185	0
NLANBGKA_00186	0
NLANBGKA_00187	5
NLANBGKA_00188	0
NLANBGKA_00189	0
NLANBGKA_00190	0
NLANBGKA_00191	50
NLANBGKA_00192	1
NLANBGKA_00193	0
NLANBGKA_00194	19
NLANBGKA_00195	5
NLANBGKA_00196	9
NLANBGKA_00197	50
NLANBGKA_00198	3
NLANBGKA_00199	1
NLANBGKA_00200	10
NLANBGKA_00201	17
NLANBGKA_00202	44
NLANBGKA_00203	0
NLANBGKA_00204	4
NLANBGKA_00205	1
NLANBGKA_00206	0
NLANBGKA_00207	0
NLANBGKA_00208	42
NLANBGKA_00209	11
NLANBGKA_00210	16
NLANBGKA_00211	5
NLANBGKA_00212	4
NLANBGKA_00213	25
NLANBGKA_00214	4
NLANBGKA_00215	82
NLANBGKA_00216	0
NLANBGKA_00217	54
NLANBGKA_00218	74
NLANBGKA_00219	38
NLANBGKA_00220	187
NLANBGKA_00221	196
NLANBGKA_00222	299
NLANBGKA_00223	111
NLANBGKA_00224	14
NLANBGKA_00225	963
NLANBGKA_00226	68
NLANBGKA_00227	16
NLANBGKA_00228	13
NLANBGKA_00229	21
NLANBGKA_00230	0
NLANBGKA_00231	15
NLANBGKA_00232	9
NLANBGKA_00233	1
NLANBGKA_00234	1
NLANBGKA_00235	5
NLANBGKA_00236	0
NLANBGKA_00237	9
NLANBGKA_00238	1
NLANBGKA_00239	0
NLANBGKA_00240	1
NLANBGKA_00241	2
NLANBGKA_00242	15
NLANBGKA_00243	32
NLANBGKA_00244	2
NLANBGKA_00245	18
NLANBGKA_00246	13
NLANBGKA_00247	0
NLANBGKA_00248	1
NLANBGKA_00249	5
NLANBGKA_00250	0
NLANBGKA_00251	0
