,Knumber,log2FoldChange.minusSTvsAll
OG6804,K03111,0.0
OG6815,K02031,
OG6820,K01652,0.0
OG6829,K01790,0.185
OG6856,K20265,1.77
OG6858,K01580,-0.501
OG6860,K02316,0.508
OG6879,K01421,2.46
OG6885,K02445,
OG6887,K07316,
OG6888,K01156,
OG6891,K05845,-1.2690000000000001
OG6891,K05846,-1.2690000000000001
OG6893,K03524,0.19399999999999998
OG6905,K16566,
OG6916,K03695,-1.206
OG6920,K07482,
OG6924,K00689,-0.46799999999999997
OG6931,K00012,
OG6936,K01154,-2.3169999999999997
OG6947,K01785,-2.114
OG6951,K01534,
OG6952,K01534,0.0
OG6954,K16169,-0.922
OG6965,K01356,-1.43
OG6966,K00691,1.021
OG1,K01681,-0.375
OG2,K20276,-1.025
OG11,K03427,-1.062
OG14,K00014,0.903
OG15,K02761,-0.013999999999999999
OG19,K10716,-0.511
OG21,K00633,-0.899
OG23,K02240,-0.251
OG25,K17319,-1.43
OG34,K07451,-1.137
OG36,K01735,0.536
OG42,K01805,-0.433
OG43,K02031,0.506
OG48,K01154,-0.625
OG56,K02788,-1.065
OG57,K18926,-0.231
OG58,K02004,-0.514
OG64,K09815,-0.059000000000000004
OG65,K07316,0.0
OG68,K02248,-2.158
OG71,K04068,-0.171
OG73,K00298,-0.7120000000000001
OG92,K03475,-0.752
OG93,K09799,0.091
OG96,K07213,0.012
OG100,K06148,0.447
OG102,K00980,0.47100000000000003
OG103,K02810,0.053
OG109,K22132,-1.139
OG116,K00626,0.28
OG118,K21449,0.43200000000000005
OG131,K08152,-0.616
OG132,K07483,0.33299999999999996
OG136,K02236,-1.4480000000000002
OG143,K02315,
OG145,K03284,-0.46799999999999997
OG149,K07441,0.02
OG157,K00854,-0.289
OG158,K07005,0.43
OG160,K01992,-0.47200000000000003
OG161,K02238,-0.763
OG167,K07483,0.413
OG169,K11752,0.152
OG172,K00765,-1.175
OG175,K00874,-0.611
OG176,K06919,-0.49
OG178,K01805,0.139
OG179,K04041,0.556
OG180,K05970,0.494
OG181,K19972,-0.313
OG182,K07052,-1.705
OG183,K02237,-5.236000000000001
OG186,K12952,0.028999999999999998
OG192,K10830,-0.33299999999999996
OG193,K02238,0.0
OG195,K07284,-0.304
OG196,K08728,0.9209999999999999
OG199,K19971,-1.004
OG200,K03524,-0.332
OG206,K03523,0.10800000000000001
OG209,K06950,-0.162
OG211,K01060,-1.253
OG218,K08602,-0.037000000000000005
OG223,K07032,-0.501
OG225,K01200,-0.146
OG227,K18940,-0.581
OG233,K19350,-0.179
OG234,K01187,-0.696
OG238,K00703,-0.386
OG242,K13530,0.16
OG243,K01421,0.096
OG246,K07095,0.10300000000000001
OG249,K00145,-1.192
OG254,K00882,-0.10099999999999999
OG255,K21613,0.006999999999999999
OG257,K01575,0.375
OG258,K06999,-0.365
OG261,K00111,-1.0090000000000001
OG262,K09155,-0.113
OG264,K07493,-0.8420000000000001
OG265,K01347,-1.5390000000000001
OG266,K05770,-0.451
OG269,K00821,-1.725
OG271,K18888,0.057999999999999996
OG273,K01126,0.11699999999999999
OG280,K17758,-0.018000000000000002
OG281,K13727,0.027000000000000003
OG282,K01048,1.173
OG283,K02501,-0.708
OG298,K02004,0.5379999999999999
OG299,K01126,0.052000000000000005
OG302,K01990,-0.076
OG303,K16924,-1.165
OG305,K00013,-0.239
OG309,K01512,0.07
OG311,K13789,-0.20600000000000002
OG319,K07118,-0.278
OG320,K10440,-0.115
OG324,K07052,-0.034
OG327,K06885,-0.289
OG328,K09962,-0.165
OG332,K03811,0.069
OG333,K03530,-0.386
OG335,K00620,-0.527
OG337,K07124,0.259
OG338,K19270,0.312
OG340,K02316,-0.095
OG342,K01992,-0.316
OG343,K02003,0.065
OG345,K03486,0.484
OG347,K01814,-0.34
OG348,K07098,0.619
OG349,K02800,-1.334
OG350,K01895,0.386
OG351,K00689,1.133
OG352,K00611,-1.2570000000000001
OG353,K02243,-0.529
OG354,K02500,-0.18
OG355,K02113,0.035
OG356,K01649,-0.836
OG357,K00052,-0.196
OG361,K00757,-0.086
OG364,K02073,-1.297
OG367,K00033,-0.179
OG371,K00563,0.12300000000000001
OG373,K09760,-0.046
OG377,K06201,0.154
OG378,K01992,0.06
OG380,K14155,-0.09699999999999999
OG381,K02503,-0.281
OG384,K00626,-0.09699999999999999
OG386,K00054,-0.20199999999999999
OG387,K00297,-0.986
OG388,K03707,-0.757
OG389,K00549,-0.778
OG390,K03823,0.502
OG391,K03709,-0.345
OG392,K03740,0.43700000000000006
OG394,K00925,0.565
OG395,K00571,0.386
OG397,K03367,0.501
OG398,K00788,-0.131
OG399,K00965,-0.731
OG400,K03575,0.069
OG401,K01972,0.013999999999999999
OG402,K00941,0.302
OG403,K09811,0.44799999999999995
OG405,K12573,0.467
OG409,K02004,-0.544
OG411,K12556,0.243
OG414,K01823,0.142
OG415,K00938,0.182
OG416,K01597,0.114
OG417,K01515,0.45399999999999996
OG418,K03470,-0.096
OG419,K00286,0.015
OG420,K12132,0.297
OG422,K07056,0.474
OG425,K03500,0.602
OG426,K01714,0.239
OG430,K00604,-0.052000000000000005
OG432,K02003,-0.225
OG433,K04066,0.049
OG434,K06878,-0.127
OG435,K21977,0.059000000000000004
OG437,K03524,0.07
OG438,K03693,-0.151
OG439,K01607,-0.5489999999999999
OG441,K03471,0.0
OG442,K22293,1.036
OG447,K00782,0.166
OG449,K03100,0.016
OG450,K03629,0.09699999999999999
OG452,K00945,-0.011000000000000001
OG454,K04486,-0.8170000000000001
OG455,K11755,-0.6509999999999999
OG456,K00016,0.325
OG462,K00868,-0.18899999999999997
OG463,K06173,0.295
OG464,K10947,-0.695
OG466,K03581,0.45299999999999996
OG467,K03589,-0.071
OG468,K02563,0.525
OG469,K01838,0.022000000000000002
OG472,K01925,0.293
OG473,K08234,0.649
OG474,K00897,-1.123
OG475,K07040,-0.222
OG476,K03387,-0.621
OG477,K16264,-0.7040000000000001
OG478,K00687,0.561
OG479,K04518,0.537
OG480,K01281,0.772
OG482,K07082,0.228
OG483,K02343,0.3
OG484,K00891,0.261
OG485,K06988,-0.902
OG486,K05592,0.782
OG487,K10563,0.069
OG488,K01772,1.146
OG490,K07462,0.306
OG491,K02860,0.134
OG494,K04517,0.07200000000000001
OG495,K00215,-0.264
OG497,K01693,-0.418
OG499,K00974,-0.203
OG501,K08317,0.467
OG511,K03565,-0.539
OG512,K06969,0.17300000000000001
OG521,K00791,-0.03
OG524,K06180,0.061
OG525,K03767,0.156
OG527,K04516,-0.732
OG530,K03734,-0.231
OG531,K00969,0.363
OG532,K02340,-0.228
OG533,K09799,0.22699999999999998
OG534,K00287,0.081
OG536,K09762,-0.10800000000000001
OG537,K00950,0.094
OG537,K01495,0.094
OG538,K00796,0.192
OG539,K00887,0.10400000000000001
OG540,K21567,-0.384
OG543,K19965,0.045
OG545,K11754,0.125
OG546,K03785,-0.12
OG547,K00003,0.491
OG548,K00872,0.768
OG550,K16788,0.39299999999999996
OG552,K07461,0.647
OG553,K05823,0.629
OG554,K11717,-0.354
OG555,K06967,-0.37799999999999995
OG556,K10773,-0.04
OG557,K02851,-0.10800000000000001
OG558,K02086,0.0
OG559,K00794,-0.182
OG560,K14652,-0.188
OG562,K03497,0.054000000000000006
OG564,K03810,-0.501
OG565,K02348,0.37200000000000005
OG568,K00059,0.023
OG569,K01928,0.047
OG571,K07570,-0.115
OG573,K08591,0.379
OG575,K03547,-0.253
OG576,K00077,0.505
OG577,K09761,0.062
OG579,K04750,-0.161
OG581,K01246,0.161
OG584,K00949,-0.36
OG585,K07284,-0.525
OG587,K20866,-0.597
OG590,K01589,1.165
OG591,K01588,1.8840000000000001
OG593,K01945,1.344
OG594,K03095,0.138
OG595,K00602,1.705
OG598,K00383,-0.451
OG599,K02823,1.892
OG601,K11175,1.255
OG602,K06997,0.035
OG603,K02221,0.461
OG604,K00764,1.5030000000000001
OG606,K23264,1.955
OG607,K01923,1.376
OG610,K04074,-0.19899999999999998
OG612,K06872,-0.10099999999999999
OG614,K00864,-0.359
OG615,K01104,0.442
OG616,K04487,0.36200000000000004
OG618,K07098,0.402
OG620,K11145,0.504
OG621,K03529,0.779
OG622,K02503,-0.184
OG625,K18890,-0.387
OG626,K07025,-0.04
OG627,K00627,-0.11
OG631,K03631,-0.032
OG632,K05896,-0.182
OG634,K22457,0.591
OG635,K03110,0.214
OG636,K02428,0.502
OG637,K01776,0.39899999999999997
OG638,K03722,0.455
OG639,K03437,0.297
OG640,K00266,-0.079
OG641,K00265,-0.062
OG642,K01079,0.401
OG643,K02484,-0.16699999999999998
OG645,K00058,-0.016
OG646,K07335,0.659
OG647,K01489,0.444
OG648,K00831,0.145
OG649,K01223,-0.551
OG650,K01465,1.382
OG651,K00756,-0.06
OG652,K06158,0.65
OG654,K01092,0.002
OG657,K03572,0.317
OG660,K03700,0.146
OG661,K00564,0.052000000000000005
OG662,K03602,0.043
OG663,K05366,0.46399999999999997
OG665,K01069,0.28
OG668,K04063,-1.107
OG670,K01488,0.649
