,Knumber,log2FoldChange.minusSTvsAll
OG4339,K01647,-1.2229999999999999
OG4343,K01791,-0.602
OG4344,K01990,-0.45
OG4349,K02044,1.577
OG4350,K01681,-1.281
OG4352,K01785,-0.785
OG4353,K01071,0.139
OG4354,K04096,-1.185
OG4355,K03885,-0.517
OG4356,K07483,-0.823
OG4358,K19265,-0.2
OG4364,K02757,-1.6980000000000002
OG4365,K06147,0.653
OG4371,K01520,0.579
OG4373,K03322,0.174
OG4376,K01739,-0.7859999999999999
OG4377,K03704,0.02
OG4379,K01689,-0.035
OG4381,K07010,0.779
OG4382,K03483,-2.655
OG4383,K02029,0.52
OG4387,K00688,-0.114
OG4390,K19081,-0.146
OG4392,K01223,-0.14300000000000002
OG4394,K00926,0.611
OG4395,K09936,0.6829999999999999
OG4396,K00004,-0.888
OG4397,K16785,-0.9940000000000001
OG4399,K03488,-0.040999999999999995
OG4400,K16209,-0.496
OG4401,K17319,-0.47600000000000003
OG4402,K22212,0.128
OG4403,K02757,-0.251
OG4404,K00926,0.568
OG4405,K01223,-0.155
OG4406,K15580,-0.36700000000000005
OG4407,K02042,1.489
OG4408,K03299,0.03
OG4411,K21739,-0.772
OG4413,K12952,0.578
OG4415,K00651,0.192
OG4416,K02033,0.040999999999999995
OG4422,K07010,0.617
OG4425,K06904,
OG4427,K01817,-0.919
OG4432,K03704,-0.853
OG4434,K00004,-0.831
OG4436,K12999,-0.73
OG4438,K00563,-0.742
OG4442,K01992,0.45399999999999996
OG4445,K01478,0.528
OG4446,K21993,-0.9740000000000001
OG4448,K00651,-0.11800000000000001
OG4451,K22212,-2.883
OG4452,K06904,0.299
OG4453,K16785,-0.698
OG4454,K01817,-0.52
OG4456,K07497,-0.575
OG4458,K03483,-0.46799999999999997
OG4461,K01223,-0.47600000000000003
OG4464,K00158,-1.107
OG4469,K02033,-1.515
OG4470,K01356,-1.3880000000000001
OG4471,K01791,-0.483
OG4472,K00563,-0.17
OG4474,K06889,-1.255
OG4477,K01478,1.2
OG4481,K21739,-1.304
OG4485,K07497,-1.128
OG4489,K12952,-1.395
OG4493,K03322,0.631
OG4494,K01520,-0.506
OG4497,K01647,-0.595
OG4499,K01223,-1.005
OG4500,K06889,-0.324
OG4502,K03502,-0.5429999999999999
OG4504,K09936,-0.10300000000000001
OG4511,K02757,-1.3
OG4512,K16209,-0.65
OG4513,K03885,-0.915
OG4516,K08602,0.027999999999999997
OG4517,K03322,-1.145
OG4520,K18926,0.469
OG4521,K01689,-2.423
OG4522,K01356,-0.713
OG4526,K02044,1.899
OG4528,K02244,
OG4530,K08602,-1.123
OG4532,K11041,1.463
OG4533,K00688,-0.41
OG4536,K15580,-0.736
OG4539,K07497,0.782
OG4543,K00705,-0.746
OG4547,K07497,0.132
OG4552,K03502,0.214
OG4556,K03311,1.412
OG4557,K00865,-0.414
OG4560,K06147,0.155
OG4564,K02035,-0.02
OG4567,K02035,-0.09699999999999999
OG4569,K00158,-1.088
OG4570,K03322,-0.7240000000000001
OG4572,K07497,-0.797
OG4576,K00158,-1.097
OG4578,K01739,1.4380000000000002
OG4579,K07483,-1.044
OG4585,K07497,-0.17300000000000001
OG4586,K06147,0.085
OG4587,K01739,-0.055
OG4588,K07497,-0.249
OG4590,K02761,1.2770000000000001
OG4591,K00865,-0.983
OG4593,K07498,-0.29
OG4597,K03311,-0.46799999999999997
OG4599,K07497,0.133
OG4601,K07497,-0.345
OG4603,K00705,-0.578
OG4604,K03502,0.064
OG4606,K02761,-0.6890000000000001
OG4613,K00705,0.301
OG4616,K07497,-0.46799999999999997
