Knumber,log2FoldChange.minusSTvsAll
K02501,-0.708
K02004,0.5379999999999999
K01126,0.052000000000000005
K01990,-0.076
K16924,-1.165
K00013,-0.239
K01512,0.07
K13789,-0.20600000000000002
K07118,-0.278
K10440,-0.115
K07052,-0.034
K06885,-0.289
K09962,-0.165
K03811,0.069
K03530,-0.386
K00620,-0.527
K07124,0.259
K19270,0.312
K02316,-0.095
K01992,-0.316
K02003,0.065
K03486,0.484
K01814,-0.34
K07098,0.619
K02800,-1.334
K01895,0.386
K00689,1.133
K00611,-1.2570000000000001
K02243,-0.529
K02500,-0.18
K02113,0.035
K01649,-0.836
K00052,-0.196
K00757,-0.086
K02073,-1.297
K00033,-0.179
K00563,0.12300000000000001
K09760,-0.046
K06201,0.154
K01992,0.06
K14155,-0.09699999999999999
K02503,-0.281
K00626,-0.09699999999999999
K00054,-0.20199999999999999
K00297,-0.986
K03707,-0.757
K00549,-0.778
K03823,0.502
K03709,-0.345
K03740,0.43700000000000006
K00925,0.565
K00571,0.386
K03367,0.501
K00788,-0.131
K00965,-0.731
K03575,0.069
K01972,0.013999999999999999
K00941,0.302
K09811,0.44799999999999995
K12573,0.467
K02004,-0.544
K12556,0.243
K01823,0.142
K00938,0.182
K01597,0.114
K01515,0.45399999999999996
K03470,-0.096
K00286,0.015
K12132,0.297
K07056,0.474
K03500,0.602
K01714,0.239
K00604,-0.052000000000000005
K02003,-0.225
K04066,0.049
K06878,-0.127
K21977,0.059000000000000004
K03524,0.07
K03693,-0.151
K01607,-0.5489999999999999
K03471,0.0
K22293,1.036
K00782,0.166
K03100,0.016
K03629,0.09699999999999999
K00945,-0.011000000000000001
K04486,-0.8170000000000001
K11755,-0.6509999999999999
K00016,0.325
K00868,-0.18899999999999997
K06173,0.295
K10947,-0.695
K03581,0.45299999999999996
K03589,-0.071
K02563,0.525
K01838,0.022000000000000002
K01925,0.293
K08234,0.649
K00897,-1.123
K07040,-0.222
K03387,-0.621
K16264,-0.7040000000000001
K00687,0.561
K04518,0.537
K01281,0.772
K07082,0.228
K02343,0.3
K00891,0.261
K06988,-0.902
K05592,0.782
K10563,0.069
K01772,1.146
K07462,0.306
K02860,0.134
K04517,0.07200000000000001
K00215,-0.264
K01693,-0.418
K00974,-0.203
K08317,0.467
K03565,-0.539
K06969,0.17300000000000001
K00791,-0.03
K06180,0.061
K03767,0.156
K04516,-0.732
K03734,-0.231
K00969,0.363
K02340,-0.228
K09799,0.22699999999999998
K00287,0.081
K09762,-0.10800000000000001
K00950,0.094
K01495,0.094
K00796,0.192
K00887,0.10400000000000001
K21567,-0.384
K19965,0.045
K11754,0.125
K03785,-0.12
K00003,0.491
K00872,0.768
K16788,0.39299999999999996
K07461,0.647
K05823,0.629
K11717,-0.354
K06967,-0.37799999999999995
K10773,-0.04
K02851,-0.10800000000000001
K02086,0.0
K00794,-0.182
K14652,-0.188
K03497,0.054000000000000006
K03810,-0.501
K02348,0.37200000000000005
K00059,0.023
K01928,0.047
K07570,-0.115
K08591,0.379
K03547,-0.253
K00077,0.505
K09761,0.062
K04750,-0.161
K01246,0.161
K00949,-0.36
K07284,-0.525
K20866,-0.597
K01589,1.165
K01588,1.8840000000000001
K01945,1.344
K03095,0.138
K00602,1.705
K00383,-0.451
K02823,1.892
K11175,1.255
K06997,0.035
K02221,0.461
K00764,1.5030000000000001
K23264,1.955
K01923,1.376
K04074,-0.19899999999999998
K06872,-0.10099999999999999
K00864,-0.359
K01104,0.442
K04487,0.36200000000000004
K07098,0.402
K11145,0.504
K03529,0.779
K02503,-0.184
K18890,-0.387
K07025,-0.04
K00627,-0.11
K03631,-0.032
K05896,-0.182
K22457,0.591
K03110,0.214
K02428,0.502
K01776,0.39899999999999997
K03722,0.455
K03437,0.297
K00266,-0.079
K00265,-0.062
K01079,0.401
K02484,-0.16699999999999998
K00058,-0.016
