OG	sample_2A
OG556	1376.0
OG557	3028.0
OG558	854.0
OG559	17.0
OG560	16.0
OG561	317.0
OG562	426.0
OG563	523.0
OG564	896.0
OG565	149.0
OG566	791.0
OG567	340.0
OG568	2204.0
OG569	1591.0
OG570	444.0
OG571	754.0
OG572	1359.0
OG573	221.0
OG574	364.0
OG575	454.0
OG576	1074.0
OG577	492.0
OG578	208.0
OG579	448.0
OG580	694.0
OG581	953.0
OG582	368.0
OG583	376.0
OG584	610.0
OG585	921.0
OG586	111.0
OG587	122.0
OG588	163.0
OG589	979.0
OG590	9653.0
OG591	3232.0
OG592	225.0
OG593	7015.0
OG594	486.0
OG595	13015.0
OG596	163.0
OG597	1704.0
OG598	2436.0
OG599	921.0
OG600	33.0
OG601	1753.0
OG602	5206.0
OG603	66.0
OG604	11972.0
OG605	2123.0
OG606	832.0
OG607	5030.0
OG608	109.0
OG609	315.0
OG610	5309.0
OG611	1155.0
OG612	751.0
OG613	56.0
OG614	91.0
OG615	166.0
OG616	1614.0
OG617	15.0
OG618	291.0
OG619	1799.0
OG620	465.0
OG621	1619.0
OG622	825.0
OG623	584.0
OG624	436.0
OG625	582.0
OG626	214.0
OG627	10993.0
OG628	314.0
OG629	796.0
OG630	433.0
OG631	2865.0
OG632	376.0
OG633	712.0
OG634	2602.0
OG635	2162.0
OG636	789.0
OG637	1743.0
OG638	1348.0
OG639	808.0
OG640	2311.0
OG641	4908.0
OG642	880.0
OG643	1392.0
OG644	282.0
OG645	1048.0
OG646	8669.0
OG647	449.0
OG648	468.0
OG649	29.0
OG650	8035.0
OG651	2770.0
OG652	753.0
OG653	726.0
OG654	515.0
OG655	127.0
OG656	78.0
OG657	2568.0
OG658	532.0
OG659	221.0
OG660	1078.0
OG661	793.0
OG662	140.0
OG663	4062.0
OG664	452.0
OG665	371.0
OG666	3.0
OG667	29.0
OG668	4029.0
OG669	877.0
OG670	125.0
OG671	66.0
OG672	167.0
OG673	1183.0
OG674	17.0
OG675	488.0
OG676	1268.0
OG677	123.0
OG678	11294.0
OG679	169.0
OG680	389.0
OG681	1273.0
OG682	3578.0
OG683	804.0
OG684	4297.0
OG685	2886.0
OG686	439.0
OG687	3113.0
OG688	3126.0
OG689	485.0
OG690	752.0
OG691	140.0
OG692	315.0
OG693	3572.0
OG694	126.0
OG695	50.0
OG696	171.0
OG697	132.0
OG698	242.0
OG699	87.0
OG700	228.0
OG701	228.0
OG702	14321.0
OG703	246.0
OG704	12.0
OG705	8.0
OG706	161.0
OG707	955.0
OG708	184.0
OG709	1636.0
OG710	549.0
OG711	513.0
OG712	901.0
OG713	2450.0
OG714	1608.0
OG715	38.0
OG716	1055.0
OG717	4331.0
OG718	1791.0
OG719	3165.0
OG720	332.0
OG721	80.0
OG722	899.0
OG723	468.0
OG724	1513.0
OG725	203.0
OG726	1230.0
OG727	158.0
OG728	290.0
OG729	386.0
OG730	864.0
OG731	661.0
OG732	44.0
OG733	204.0
OG734	3065.0
OG735	668.0
OG736	1666.0
OG737	611.0
OG738	3.0
OG739	790.0
OG740	2174.0
OG741	8796.0
OG742	0.0
OG743	357.0
OG744	287.0
OG745	952.0
OG746	2524.0
OG747	1029.0
OG748	3.0
OG749	3780.0
OG750	1959.0
OG751	291.0
OG752	154.0
OG753	931.0
OG754	1168.0
OG755	1619.0
OG757	5154.0
OG758	3529.0
OG759	1052.0
OG760	1099.0
OG761	561.0
OG762	512.0
OG763	195.0
OG764	1005.0
OG765	209.0
OG766	21.0
OG767	117.0
OG768	5.0
OG769	1026.0
OG770	360.0
OG771	749.0
OG772	2197.0
OG773	2866.0
OG775	880.0
OG776	436.0
OG784	3318.0
OG785	1740.0
OG786	1286.0
OG787	690.0
OG789	131.0
OG798	960.0
OG799	4820.0
OG800	764.0
OG801	3485.0
OG802	1499.0
OG803	2.0
OG804	249.0
OG805	68.0
OG806	52.0
OG807	2201.0
OG808	394.0
OG809	843.0
OG810	1448.0
OG811	4193.0
OG812	897.0
OG813	669.0
OG814	207.0
OG815	2184.0
OG816	1945.0
OG817	721.0
OG818	315.0
OG819	1884.0
OG820	942.0
OG821	1641.0
OG822	1045.0
OG823	3185.0
OG824	16.0
OG825	6989.0
OG826	463.0
OG827	550.0
OG828	4206.0
OG829	234.0
OG830	65.0
OG831	3383.0
OG832	1386.0
OG833	7.0
OG834	331.0
OG835	4593.0
OG836	440.0
OG837	2997.0
OG840	1844.0
OG841	1229.0
OG842	1811.0
OG843	1199.0
OG844	3105.0
OG845	337.0
OG846	72084.0
OG847	390.0
OG862	952.0
OG863	952.0
OG864	835.0
OG865	2666.0
OG866	14814.0
OG867	1005.0
OG868	97.0
OG871	90.0
OG872	865.0
OG873	473.0
OG874	1904.0
OG875	6649.0
OG876	1671.0
OG877	1737.0
OG878	2339.0
OG879	13168.0
OG880	45.0
OG881	943.0
OG882	239.0
OG883	23260.0
OG884	614.0
OG885	2075.0
OG886	24.0
OG887	986.0
OG888	248.0
OG889	446.0
OG897	739.0
OG898	11584.0
OG899	1312.0
OG905	1482.0
OG906	9800.0
OG907	219.0
OG908	1172.0
OG909	237.0
OG910	4460.0
OG911	124.0
OG912	11685.0
OG913	93.0
OG914	2725.0
OG915	7290.0
OG916	961.0
OG922	4592.0
OG923	22.0
OG924	4572.0
OG925	101.0
OG926	1382.0
OG931	461.0
OG945	4110.0
OG946	52.0
OG948	1049.0
OG949	254.0
OG950	32.0
OG954	134.0
OG963	15232.0
OG964	1557.0
OG977	244.0
OG983	124.0
OG984	35.0
OG998	1196.0
OG1001	11343.0
OG1002	597.0
OG1004	2735.0
OG1005	2830.0
OG1006	4093.0
OG1007	2279.0
OG1008	719.0
OG1009	1362.0
OG1010	1129.0
OG1011	2724.0
OG1012	132.0
OG1013	43049.0
OG1014	183.0
OG1015	744.0
OG1016	1288.0
OG1017	2535.0
OG1018	3360.0
OG1019	197.0
OG1020	4655.0
OG1021	2837.0
OG1022	263.0
OG1023	2067.0
OG1024	8237.0
OG1025	12.0
OG1026	3759.0
OG1027	228.0
OG1039	218.0
OG1040	1222.0
OG1041	17375.0
OG1042	797.0
OG1054	7214.0
OG1059	1550.0
OG1060	2356.0
OG1061	640.0
OG1062	343.0
OG1063	629.0
OG1064	100.0
OG1075	851.0
OG1076	1673.0
OG1077	3991.0
OG1078	667.0
OG1079	105.0
OG1119	27.0
OG1160	4337.0
OG1161	600.0
OG1162	3108.0
OG1163	2272.0
