OG	sample_2B
OG603	77.0
OG604	8916.0
OG605	2676.0
OG606	532.0
OG607	5232.0
OG608	143.0
OG609	395.0
OG610	5856.0
OG611	1007.0
OG612	412.0
OG613	107.0
OG614	100.0
OG615	188.0
OG616	1362.0
OG617	15.0
OG618	427.0
OG619	1703.0
OG620	429.0
OG621	1584.0
OG622	936.0
OG623	649.0
OG624	415.0
OG625	636.0
OG626	251.0
OG627	8254.0
OG628	300.0
OG629	949.0
OG630	443.0
OG631	3226.0
OG632	434.0
OG633	701.0
OG634	2251.0
OG635	2373.0
OG636	681.0
OG637	1515.0
OG638	1402.0
OG639	730.0
OG640	2153.0
OG641	4537.0
OG642	1033.0
OG643	1186.0
OG644	372.0
OG645	1122.0
OG646	7826.0
OG647	238.0
OG648	495.0
OG649	29.0
OG650	7119.0
OG651	2742.0
OG652	824.0
OG653	801.0
OG654	593.0
OG655	133.0
OG656	79.0
OG657	2756.0
OG658	557.0
OG659	251.0
OG660	1019.0
OG661	897.0
OG662	196.0
OG663	2665.0
OG664	429.0
OG665	370.0
OG666	7.0
OG667	22.0
OG668	3648.0
OG669	1022.0
OG670	115.0
OG671	70.0
OG672	115.0
OG673	1470.0
OG674	14.0
OG675	558.0
OG676	1403.0
OG677	162.0
OG678	10450.0
OG679	157.0
OG680	278.0
OG681	1149.0
OG682	3468.0
OG683	870.0
OG684	4692.0
OG685	3052.0
OG686	548.0
OG687	3418.0
OG688	3646.0
OG689	620.0
OG690	861.0
OG691	111.0
OG692	277.0
OG693	3522.0
OG694	61.0
OG695	53.0
OG696	199.0
OG697	153.0
OG698	216.0
OG699	108.0
OG700	222.0
OG701	293.0
OG702	17741.0
OG703	305.0
OG704	20.0
OG705	6.0
OG706	157.0
OG707	1092.0
OG708	220.0
OG709	1757.0
OG710	605.0
OG711	518.0
OG712	768.0
OG713	2233.0
OG714	1390.0
OG715	37.0
OG716	1006.0
OG717	3991.0
OG718	1751.0
OG719	3695.0
OG720	342.0
OG721	100.0
OG722	1031.0
OG723	466.0
OG724	1926.0
OG725	301.0
OG726	1720.0
OG727	174.0
OG728	284.0
OG729	491.0
OG730	906.0
OG731	584.0
OG732	43.0
OG733	198.0
OG734	3783.0
OG735	717.0
OG736	1860.0
OG737	554.0
OG738	8.0
OG739	1017.0
OG740	2217.0
OG741	9630.0
OG742	0.0
OG743	370.0
OG744	332.0
OG745	813.0
OG746	2573.0
OG747	1570.0
OG748	1.0
OG749	4026.0
OG750	1589.0
OG751	305.0
OG752	209.0
OG753	1205.0
OG754	1429.0
OG755	1756.0
OG757	5610.0
OG758	3923.0
OG759	1158.0
OG760	1235.0
OG761	704.0
OG762	552.0
OG763	270.0
OG764	1086.0
OG765	169.0
OG766	33.0
OG767	168.0
OG768	5.0
OG769	1064.0
OG770	460.0
OG771	739.0
OG772	2165.0
OG773	2953.0
OG775	983.0
OG776	389.0
OG784	3430.0
OG785	2166.0
OG786	1400.0
OG787	863.0
OG789	136.0
OG798	1097.0
OG799	5238.0
OG800	842.0
OG801	3475.0
OG802	2060.0
OG803	1.0
OG804	218.0
OG805	64.0
OG806	70.0
OG807	2418.0
OG808	390.0
OG809	723.0
