OG	sample_2C
OG459	1243.0
OG460	68.0
OG461	1695.0
OG462	790.0
OG463	945.0
OG464	28.0
OG465	526.0
OG466	1869.0
OG467	941.0
OG468	1458.0
OG469	36.0
OG470	18.0
OG471	331.0
OG472	2502.0
OG473	235.0
OG474	44.0
OG475	225.0
OG476	17834.0
OG477	838.0
OG478	3374.0
OG479	388.0
OG480	3363.0
OG481	3330.0
OG482	2408.0
OG483	2014.0
OG484	51.0
OG485	659.0
OG486	1027.0
OG487	604.0
OG488	253.0
OG489	2000.0
OG490	1634.0
OG491	354.0
OG492	423.0
OG493	37.0
OG494	399.0
OG495	656.0
OG496	2011.0
OG497	93.0
OG498	1097.0
OG499	2867.0
OG500	189.0
OG501	271.0
OG502	151.0
OG503	1232.0
OG504	827.0
OG505	188.0
OG506	382.0
OG507	28.0
OG508	404.0
OG509	380.0
OG510	461.0
OG511	786.0
OG512	371.0
OG513	173.0
OG514	170.0
OG515	146.0
OG516	158.0
OG517	5.0
OG518	142.0
OG519	848.0
OG520	642.0
OG521	1511.0
OG522	820.0
OG523	2231.0
OG524	1560.0
OG525	3252.0
OG526	255.0
OG527	4.0
OG528	1075.0
OG529	30.0
OG530	499.0
OG531	135.0
OG532	902.0
OG533	634.0
OG534	311.0
OG535	229.0
OG536	907.0
OG537	852.0
OG538	889.0
OG539	505.0
OG540	318.0
OG541	899.0
OG542	468.0
OG543	302.0
OG544	202.0
OG545	1059.0
OG546	765.0
OG547	622.0
OG548	180.0
OG549	81.0
OG550	616.0
OG551	617.0
OG552	61.0
OG553	938.0
OG554	3413.0
OG555	1591.0
OG556	962.0
OG557	2261.0
OG558	649.0
OG559	15.0
OG560	8.0
OG561	229.0
OG562	339.0
OG563	413.0
OG564	596.0
OG565	97.0
OG566	613.0
OG567	239.0
OG568	1846.0
OG569	1240.0
OG570	288.0
OG571	663.0
OG572	1022.0
OG573	123.0
OG574	255.0
OG575	345.0
OG576	810.0
OG577	335.0
OG578	126.0
OG579	279.0
OG580	410.0
OG581	724.0
OG582	255.0
OG583	259.0
OG584	511.0
OG585	771.0
OG586	70.0
OG587	127.0
OG588	114.0
OG589	775.0
OG590	5832.0
OG591	1666.0
OG592	131.0
OG593	4476.0
OG594	316.0
OG595	7875.0
OG596	122.0
OG597	1159.0
OG598	1693.0
OG599	531.0
OG600	30.0
OG601	1134.0
OG602	3728.0
OG603	40.0
OG604	7721.0
OG605	1647.0
OG606	434.0
OG607	2901.0
OG608	65.0
OG609	240.0
OG610	4033.0
OG611	861.0
OG612	492.0
OG613	36.0
OG614	87.0
OG615	124.0
OG616	1189.0
OG617	6.0
OG618	227.0
OG619	1470.0
OG620	355.0
OG621	1120.0
OG622	688.0
OG623	477.0
OG624	296.0
OG625	450.0
OG626	128.0
OG627	8584.0
OG628	202.0
OG629	556.0
OG630	299.0
OG631	2253.0
OG632	237.0
OG633	493.0
OG634	1677.0
OG635	1694.0
OG636	528.0
OG637	1188.0
OG638	987.0
OG639	608.0
OG640	1493.0
OG641	3386.0
OG642	599.0
OG643	862.0
OG644	159.0
OG645	681.0
OG646	5896.0
OG647	262.0
OG648	316.0
OG649	21.0
OG650	4540.0
OG651	2086.0
OG652	487.0
OG653	536.0
OG654	345.0
OG655	88.0
OG656	51.0
OG657	1765.0
OG658	364.0
OG659	133.0
OG660	823.0
OG661	590.0
OG662	70.0
OG663	2575.0
OG664	329.0
OG665	242.0
OG666	4.0
OG667	27.0
OG668	3585.0
OG669	686.0
OG670	77.0
OG671	42.0
OG672	82.0
OG673	981.0
OG674	11.0
OG675	365.0
OG676	970.0
OG677	68.0
OG678	8271.0
OG679	91.0
OG680	254.0
OG681	979.0
OG682	2655.0
OG683	662.0
OG684	3134.0
OG685	2107.0
OG686	283.0
OG687	2176.0
OG688	2417.0
OG689	375.0
OG690	656.0
OG691	87.0
OG692	226.0
OG693	2307.0
OG694	67.0
OG695	31.0
OG696	108.0
OG697	87.0
OG698	165.0
OG699	79.0
OG700	145.0
OG701	173.0
OG702	11062.0
OG703	221.0
OG704	7.0
OG705	9.0
OG706	120.0
OG707	722.0
OG708	147.0
OG709	1384.0
OG710	401.0
OG711	362.0
OG712	561.0
OG713	1746.0
OG714	1208.0
OG715	17.0
