OGs,TPM
OG182,0
OG2929,0
OG2928,0
OG1121,0.000249787778406575
OG2068,0.00131569214494429
OG773,0.000295830338424062
OG2069,0.000692835757669829
OG2070,0.000238847795132601
OG2071,0
OG2073,0
OG2743,3.63681263328391e-05
OG2075,3.49026915625801e-05
OG277,0
OG1382,4.20375546580588e-05
OG1375,0
OG4571,3.13853450174241e-05
OG1005,0
OG2113,0.291866211169956
OG1367,0
OG1365,0.000100325865745763
OG689,5.64685822841743e-05
OG1363,0.000160301354746491
OG737,6.00536495115126e-05
OG1022,0
OG1353,0.000205245419841726
OG1352,9.66685542234299e-06
OG1351,0
OG1345,0.000884000000505893
OG1343,0.00187197506170295
OG1342,0.000907883526177497
OG753,0
OG1340,9.44984438224958e-05
OG1338,0
OG1010,0
OG846,0.000638152035902521
OG1336,0.000246497665815597
OG1335,0.000527995733135507
OG749,0.000596507327798479
OG3210,0.000117812240233141
OG3211,0
OG915,3.65559769523865e-05
OG1334,8.12089124076136e-05
OG1331,0
OG710,0.000476425619458
OG1330,0.000117812240233141
OG1329,0
OG1328,0
OG2209,0.000190362524862111
OG1213,0
OG1226,0
OG875,0.000216769589357958
OG1259,7.18229577072362e-05
OG478,8.14468825216894e-05
OG476,0.000401171886101754
OG1274,0.00122951304440198
OG1290,0.00602702305550992
OG473,0
OG1298,0.000359257014876902
OG308,0
OG923,0
OG1319,5.53951593149205e-05
OG888,5.32781468570254e-05
OG1317,4.56637973921406e-05
OG1316,4.3821044927151e-05
OG1137,6.66507494546055e-05
OG1314,0
OG4397,6.10559785149854e-05
OG690,2.95571344754523e-05
OG303,7.5908586021349e-05
OG1311,0.000649424470886631
OG1310,3.76457215227829e-05
OG364,0
OG2232,0.000119146339902774
OG1307,0
OG1306,0.0001578915515003
OG1305,5.82903767007177e-05
OG954,0
OG907,0
OG1302,0
OG1301,0
OG2251,0
OG3212,0
OG3213,0
OG1448,0
OG1446,3.97371451617719e-05
OG1445,0.000316201685879736
OG1444,2.39504676584601e-05
OG1443,0
OG761,3.24562412194086e-05
OG830,0
OG1988,0
OG1441,0.00118689492190895
OG798,0
OG276,0
OG772,0
OG4407,0
OG754,0.000123463749912221
OG1439,0
OG4349,0.000876235541832397
OG751,0.000117507979912295
OG1438,0
OG1431,0.00085494055864795
OG723,0
OG1429,0.000919896698401471
OG709,0.000185592470821293
OG885,0.000165372276689368
OG1428,0.000180216116708268
OG2010,0
OG37,0
OG670,0
OG594,0
OG1427,0.000189273993218616
OG1423,0.00154311344565247
OG2014,3.00900391236631e-05
OG1195,0
OG4351,0
OG553,0
OG926,5.40516390735676e-05
OG551,0
OG1189,0
OG948,0
OG2976,4.99686015895931e-05
OG1822,0
OG3214,0
OG4379,0
OG6229,0
OG1008,0
OG1533,0.000101392746208652
OG1544,0.000283962289743179
OG1890,0
OG18,0
OG3137,0
OG559,0
OG560,0
OG2921,0
OG169,0
OG1200,0
OG1202,0
OG565,0
OG1203,0
OG203,0
OG1205,7.02556205900558e-05
OG573,0
OG1207,0
OG1209,0
OG1210,6.94163407182821e-05
OG1212,0.000137771097971635
OG403,0.000845526070160638
OG1591,0.000459543708436271
OG1593,0.000206377014463841
OG4433,0
OG1614,0.00389662068508537
OG4301,0
OG160,0.00013585751405958
OG778,0.000144972042352856
OG3022,6.40150748474971e-05
OG536,0.000101379433649823
OG1180,0.0029392769921638
OG1181,0.000417861248126861
OG1182,9.31812820306076e-05
OG2992,0
OG2988,0
OG6230,0
OG2979,0
OG2080,0
OG1853,0
OG3215,0
OG3216,0
OG1891,6.24229034071119e-05
OG242,0
OG677,0
OG679,0
OG1540,0.0100515562500612
OG680,6.34304622918122e-05
OG681,6.82617751445055e-05
OG683,0
OG1536,0.000380482425264439
OG1535,6.37214277151692e-05
OG3217,0
OG3218,0
OG3219,0
OG3220,0
OG3221,0
OG3222,0
OG3223,0
OG685,3.96608855363089e-05
OG1892,3.42149537978002e-05
OG240,4.14283147354782e-05
OG1655,0
OG453,0
OG196,0
OG1660,0.000426649808469851
OG1661,0.000240061352410198
OG456,0
OG3125,0
OG88,0
OG1793,0
OG1792,0
OG1791,0
OG4329,0
OG2936,0
OG1787,0
OG1670,0.000290325494503372
OG4491,7.43642211758493e-05
OG1674,0.000354029202106215
OG1102,0
OG462,0
OG463,0
OG1004,0.000158034609614275
OG465,0
OG1012,0
OG351,0
OG278,0
OG469,0
OG829,1.80406120024765e-05
OG4403,0
OG1772,0
OG345,0
OG1685,0.000129811587595275
OG344,5.22791816034562e-05
OG1686,9.48209641085794e-05
OG898,8.67458161658109e-05
OG1580,0.000109957292152297
OG1582,0.000834430337450796
OG401,8.61807081841235e-05
OG2104,0
OG4461,2.98387653105219e-05
OG1584,0
OG1034,0
OG1106,0.00259009724860234
OG1594,0.000382328566291015
OG1596,5.57882379193047e-05
OG408,0
OG1599,6.85024817785523e-05
OG31,0
OG1858,0
OG1035,3.64146970286369e-05
OG1602,0.0174694903718879
OG414,0.000162198791408934
OG415,0
OG416,0.000133156139214379
OG1605,8.93329340315555e-05
OG1852,8.3181264921598e-05
OG1850,0
OG1844,0
OG421,0
