Id,log2FoldChange.minusSTvsAll
OG1273,-0.591
OG1274,-0.396
OG1275,0.212
OG1276,-0.331
OG1277,0.336
OG1278,0.455
OG1279,0.768
OG1280,0.377
OG1281,-0.122
OG1282,-0.413
OG1283,0.006999999999999999
OG1284,0.44
OG1285,4.13
OG1286,4.684
OG1287,0.284
OG1288,0.44299999999999995
OG1289,0.244
OG1290,0.135
OG1291,-0.191
OG1292,-0.275
OG1293,-0.16899999999999998
OG1294,-0.318
OG1295,-0.154
OG1296,0.18
OG1297,-0.14300000000000002
OG1298,0.38799999999999996
OG1299,-0.349
OG1300,1.743
OG1301,0.012
OG1302,0.775
OG1303,-0.19899999999999998
OG1304,0.20800000000000002
OG1305,-1.63
OG1306,-1.614
OG1307,-1.635
OG1308,0.253
OG1309,-0.373
OG1310,-1.369
OG1311,-1.25
OG1312,0.297
OG1313,3.69
OG1314,-0.37
OG1315,-0.33899999999999997
OG1316,0.09300000000000001
OG1317,-0.335
OG1318,3.705
OG1319,0.353
OG1320,-0.253
OG1321,0.217
OG1322,-0.109
OG1323,0.083
OG1324,0.413
OG1325,-0.247
OG1326,0.562
OG1327,-0.298
OG1328,-0.47
OG1329,-0.027999999999999997
OG1330,-0.293
OG1331,0.26
OG1332,-0.455
OG1333,-0.145
OG1334,0.07200000000000001
OG1335,-0.071
OG1336,0.003
OG1337,0.93
OG1338,-0.23199999999999998
OG1339,-0.392
OG134,-0.331
OG1340,0.6859999999999999
OG1341,0.45399999999999996
OG1342,-0.145
OG1343,0.068
OG1344,-0.102
OG1345,-0.059000000000000004
OG1346,0.282
OG1347,0.607
OG1348,-0.28
OG1349,0.055999999999999994
OG1350,-0.142
OG1351,-0.251
OG1352,-1.389
OG1353,0.247
OG1354,0.026000000000000002
OG1355,0.495
OG1356,0.8290000000000001
OG1357,-0.001
OG1358,0.129
OG1359,0.023
OG136,-1.5730000000000002
OG1360,-0.23800000000000002
OG1361,0.16399999999999998
OG1362,1.2429999999999999
OG1363,0.486
OG1364,-0.413
OG1365,-0.606
OG1366,0.426
OG1367,-0.054000000000000006
OG1368,0.315
OG1369,-0.113
OG1370,-0.28600000000000003
OG1371,-0.392
OG1372,-0.379
OG1373,-0.48100000000000004
OG1374,-0.457
OG1375,-0.638
OG1376,0.177
OG1377,-0.052000000000000005
OG1378,0.10800000000000001
OG1379,-0.027999999999999997
OG1380,0.294
OG1381,-3.347
OG1382,-1.304
OG1383,0.231
OG1384,0.10800000000000001
OG1385,-0.375
OG1386,0.637
OG1387,0.139
OG1388,0.138
OG1389,0.121
OG1390,-0.233
OG1391,-0.494
OG1392,-0.26899999999999996
OG1393,0.237
OG1394,0.022000000000000002
OG1395,0.764
OG1396,0.019
OG1397,0.067
OG1398,0.784
OG1399,0.7390000000000001
OG14,0.79
OG1400,-0.44
OG1401,0.767
OG1402,-0.462
OG1403,0.009000000000000001
OG1404,0.266
OG1405,0.405
OG1406,0.428
OG1407,0.087
OG1408,-0.105
OG1409,-0.066
OG1410,-0.748
OG1411,0.294
OG1412,-0.017
OG1413,0.151
OG1414,-0.535
OG1415,0.16899999999999998
OG1416,0.546
OG1417,0.718
OG1418,0.711
OG1419,-0.731
OG1420,0.096
OG1421,0.03
OG1422,0.001
OG1423,0.589
OG1424,0.529
OG1425,0.43700000000000006
