Id,log2FoldChange.minus5614vsAll
OG1570,-0.155
OG1571,-0.23199999999999998
OG1572,0.312
OG1573,-0.027000000000000003
OG1574,0.052000000000000005
OG1575,0.589
OG1576,0.015
OG1577,0.19699999999999998
OG1578,0.233
OG1579,0.039
OG1580,-0.759
OG1581,0.11599999999999999
OG1582,-0.047
OG1583,0.039
OG1584,0.13
OG1585,-0.201
OG1586,-0.107
OG1587,-0.267
OG1588,0.046
OG1589,-0.718
OG1590,0.573
OG1591,0.435
OG1592,0.209
OG1593,-0.105
OG1594,-0.218
OG1595,0.465
OG1596,-0.843
OG1597,0.031
OG1598,0.152
OG1599,0.086
OG1600,-0.10300000000000001
OG1601,0.08
OG1602,-0.7609999999999999
OG1603,0.096
OG1604,-0.36700000000000005
OG1605,0.384
OG1606,-2.299
OG1607,-0.539
OG1608,0.21100000000000002
OG1609,-0.256
OG1610,0.743
OG1611,0.135
OG1612,0.214
OG1613,0.215
OG1614,-0.314
OG1615,0.627
OG1616,-0.09699999999999999
OG1617,1.173
OG1618,0.542
OG1619,-0.11699999999999999
OG1620,0.644
OG1621,-0.003
OG1622,-0.21600000000000003
OG1623,-0.155
OG1624,-0.272
OG1625,0.111
OG1626,0.012
OG1627,0.131
OG1628,0.188
OG1629,0.052000000000000005
OG1630,-0.23600000000000002
OG1631,-0.5379999999999999
OG1632,-0.021
OG1633,-1.024
OG1634,0.552
OG1635,-0.11199999999999999
OG1636,0.24600000000000002
OG1637,0.075
OG1638,0.026000000000000002
OG1639,0.275
OG1640,0.075
OG1641,0.073
OG1642,0.069
OG1643,0.13
OG1644,0.215
OG1645,0.043
OG1646,0.528
OG1647,0.011000000000000001
OG1648,0.79
OG1649,0.423
OG1650,-1.3119999999999998
OG1651,0.276
OG1652,-0.03
OG1653,0.02
OG1654,0.045
OG1655,0.851
OG1656,0.289
OG1657,0.084
OG1658,0.226
OG1659,-0.335
OG1660,-0.815
OG1661,0.45399999999999996
OG1662,-0.861
OG1663,0.5710000000000001
OG1664,-0.462
OG1665,-0.312
OG1666,-0.298
OG1667,-0.27399999999999997
OG1668,-0.532
OG1669,-0.369
OG1670,0.128
OG1671,-0.131
OG1672,0.185
OG1673,-0.040999999999999995
OG1674,-0.271
OG1675,-0.41700000000000004
OG1676,0.444
OG1677,-0.024
OG1678,0.225
OG1679,-0.7020000000000001
OG1680,0.131
OG1681,-0.846
OG1682,-0.7809999999999999
OG1683,0.39799999999999996
OG1684,0.425
OG1685,0.016
OG1686,-0.013999999999999999
OG1687,-0.08
OG1688,-0.073
OG1689,-0.11199999999999999
OG1690,-0.009000000000000001
OG1691,0.8009999999999999
OG1692,0.613
OG1693,0.23199999999999998
OG1694,-0.1
OG1695,-0.021
OG1696,-0.03
OG1697,0.988
OG1698,-0.099
OG1699,0.8859999999999999
OG1700,0.733
OG1701,-1.1840000000000002
OG1702,-0.095
OG1703,0.419
OG1704,-0.314
OG1705,0.39
OG1706,0.09699999999999999
OG1707,0.063
OG1708,0.126
OG1709,0.23600000000000002
OG1710,-0.389
OG1711,0.349
OG1712,0.0
OG1713,0.27899999999999997
OG1714,0.11699999999999999
OG1715,-1.05
OG1716,0.182
OG1717,-0.16699999999999998
OG1718,0.034
OG1719,-0.524
OG1720,-0.233
OG1721,0.27
OG1722,0.12300000000000001
OG1723,0.125
OG1724,0.62
OG1725,0.355
OG1726,-0.21899999999999997
OG1732,-0.5329999999999999
OG1734,-0.132
OG1737,0.423
OG1738,0.447
OG1740,0.309
OG1741,-0.27399999999999997
OG1743,0.214
OG1744,0.368
OG1746,0.735
OG175,0.18600000000000003
OG1754,0.27399999999999997
OG1755,0.373
OG1756,0.133
OG1757,0.08
OG1758,0.085
OG1759,0.039
OG1760,-0.804
OG1761,-0.264
OG1769,-0.363
