Id,log2FoldChange.minusSICOvsAll
OG1254,0.6729999999999999
OG1255,-0.17
OG1256,-0.247
OG1257,-0.614
OG1258,-0.207
OG1259,0.341
OG1260,0.626
OG1261,-0.564
OG1262,-0.055
OG1263,-0.036000000000000004
OG1264,-0.209
OG1265,0.5720000000000001
OG1266,-0.376
OG1267,-0.337
OG1268,0.302
OG1269,-0.155
OG1270,-0.657
OG1271,0.195
OG1272,-0.1
OG1273,-0.988
OG1274,-0.8740000000000001
OG1275,0.16699999999999998
OG1276,-0.56
OG1277,0.5529999999999999
OG1278,0.392
OG1279,0.978
OG1280,0.223
OG1281,-0.466
OG1282,-0.631
OG1283,-0.93
OG1284,0.39299999999999996
OG1285,-0.838
OG1286,0.19399999999999998
OG1287,0.757
OG1288,1.675
OG1289,0.784
OG1290,0.667
OG1291,-0.22399999999999998
OG1292,0.149
OG1293,-0.152
OG1294,0.479
OG1295,0.12300000000000001
OG1296,-0.019
OG1297,0.006999999999999999
OG1298,-0.29
OG1299,0.055
OG1300,2.364
OG1301,-0.825
OG1302,1.04
OG1303,-0.163
OG1304,0.217
OG1305,-0.655
OG1306,-0.8190000000000001
OG1307,-0.551
OG1308,-0.015
OG1309,-0.016
OG1310,-0.7040000000000001
OG1311,-0.275
OG1312,-0.256
OG1313,0.88
OG1314,-0.444
OG1315,-0.545
OG1316,0.157
OG1317,-0.387
OG1318,1.0390000000000001
OG1319,0.222
OG1320,-0.257
OG1321,-0.134
OG1322,0.021
OG1323,-0.39799999999999996
OG1324,0.45299999999999996
OG1325,0.29
OG1326,0.174
OG1327,-0.392
OG1328,-0.385
OG1329,-0.184
OG1330,-0.5429999999999999
OG1331,0.467
OG1332,-0.35
OG1333,0.474
OG1334,-0.161
OG1335,-0.22699999999999998
OG1336,0.021
OG1337,0.89
OG1338,0.15
OG1339,-0.47
OG134,-0.7290000000000001
OG1340,0.205
OG1341,1.228
OG1342,-0.374
OG1343,0.049
OG1344,0.187
OG1345,0.225
OG1346,0.748
OG1347,0.88
OG1348,-0.40700000000000003
OG1349,0.217
OG1350,0.005
OG1351,-0.145
OG1352,-0.134
OG1353,-0.285
OG1354,-0.331
OG1355,-0.08
OG1356,0.52
OG1357,0.011000000000000001
OG1358,0.294
OG1359,-0.22399999999999998
OG136,-2.2119999999999997
OG1360,-0.35600000000000004
OG1361,0.027999999999999997
OG1362,0.802
OG1363,0.299
OG1364,-0.151
OG1365,-0.302
OG1366,-0.574
OG1367,-1.011
OG1368,-0.121
OG1369,0.10099999999999999
OG1370,-0.836
OG1371,-0.285
OG1372,-0.6609999999999999
OG1373,-0.977
OG1374,-0.602
OG1375,-1.449
OG1376,0.38
