OG	sample_3A
OG1114	9192.0
OG1115	136.0
OG1116	37.0
OG1117	688.0
OG1118	700.0
OG1119	21.0
OG1120	375.0
OG1121	457.0
OG1122	32388.0
OG1123	518.0
OG1124	5352.0
OG1125	175.0
OG1126	366.0
OG1127	98.0
OG1128	2474.0
OG1129	50.0
OG1130	6015.0
OG1131	286.0
OG1132	441.0
OG1133	259.0
OG1134	1.0
OG1135	1377.0
OG1136	1365.0
OG1137	1113.0
OG1138	343.0
OG1139	2224.0
OG1140	3917.0
OG1141	3599.0
OG1142	1066.0
OG1143	2135.0
OG1144	1075.0
OG1145	994.0
OG1146	221.0
OG1147	26702.0
OG1148	157.0
OG1149	2064.0
OG1150	657.0
OG1151	1056.0
OG1152	195.0
OG1153	5611.0
OG1154	221.0
OG1155	187.0
OG1156	1876.0
OG1157	604.0
OG1158	254.0
OG1159	196.0
OG1160	2624.0
OG1161	349.0
OG1162	3305.0
OG1163	1802.0
OG1164	74.0
OG1165	4820.0
OG1166	571.0
OG1167	286.0
OG1168	495.0
OG1169	1113.0
OG1170	2437.0
OG1171	719.0
OG1172	515.0
OG1173	1705.0
OG1174	218.0
OG1175	1477.0
OG1176	114.0
OG1177	1311.0
OG1178	4965.0
OG1179	935.0
OG1180	1758.0
OG1181	1800.0
OG1182	1321.0
OG1183	11257.0
OG1184	9641.0
OG1185	2782.0
OG1186	539.0
OG1187	251.0
OG1188	460.0
OG1189	1996.0
OG1190	369.0
OG1191	1784.0
OG1192	21.0
OG1193	3848.0
OG1194	6511.0
OG1195	110.0
OG1196	778.0
OG1197	50.0
OG1198	2746.0
OG1199	2421.0
OG1200	237.0
OG1201	970.0
OG1202	2438.0
OG1203	257.0
OG1204	2149.0
OG1205	1032.0
OG1206	19439.0
OG1207	28.0
OG1208	1218.0
OG1209	211.0
OG1210	1634.0
OG1211	1960.0
OG1212	357.0
OG1213	14.0
OG1214	572.0
OG1215	4597.0
OG1216	2748.0
OG1217	564.0
OG1218	125.0
OG1219	1139.0
OG1220	46.0
OG1221	3216.0
OG1222	3538.0
OG1223	728.0
OG1224	4907.0
OG1225	766.0
OG1226	3027.0
OG1227	2297.0
OG1228	267.0
OG1229	931.0
OG1230	583.0
OG1231	18373.0
OG1232	740.0
OG1233	1456.0
OG1234	212.0
OG1235	3511.0
OG1236	715.0
OG1237	3415.0
OG1238	5925.0
OG1239	5.0
OG1240	6858.0
OG1241	68391.0
OG1242	102.0
OG1243	718.0
OG1244	275.0
OG1245	6388.0
OG1246	48412.0
OG1247	3587.0
OG1248	1813.0
OG1249	164.0
OG1250	657.0
OG1251	369.0
OG1252	6502.0
OG1253	5234.0
OG1254	317.0
OG1255	7509.0
OG1256	12136.0
OG1257	370.0
OG1258	3891.0
OG1259	223.0
OG1260	6828.0
OG1261	15850.0
OG1262	2182.0
OG1263	11182.0
OG1264	3738.0
OG1265	3204.0
OG1266	2914.0
OG1267	4649.0
OG1268	1880.0
OG1269	728.0
OG1270	4298.0
OG1271	3987.0
OG1272	2826.0
OG1273	1149.0
OG1274	24360.0
OG1275	1092.0
OG1276	559.0
OG1277	2168.0
OG1278	213.0
OG1279	787.0
OG1280	389.0
OG1281	127.0
OG1282	10643.0
OG1283	23.0
OG1284	1261.0
OG1285	17.0
OG1286	40.0
OG1287	1671.0
OG1288	222.0
OG1289	5378.0
OG1290	11381.0
OG1291	1005.0
OG1292	435.0
OG1293	2303.0
OG1294	6.0
OG1295	263.0
OG1296	1981.0
OG1297	971.0
OG1298	93.0
OG1299	1683.0
OG1300	1278.0
OG1301	67.0
OG1302	30.0
OG1303	2830.0
OG1304	880.0
OG1305	887.0
OG1306	1567.0
OG1307	1014.0
OG1308	579.0
OG1309	267.0
OG1310	1135.0
OG1311	1413.0
OG1312	669.0
OG1313	2807.0
OG1314	224.0
OG1315	1015.0
OG1316	525.0
OG1317	461.0
OG1318	1152.0
OG1319	473.0
OG1320	8604.0
OG1321	1300.0
OG1322	2788.0
OG1323	686.0
OG1324	498.0
OG1325	118.0
OG1326	275.0
OG1327	5263.0
OG1328	49.0
OG1329	1398.0
OG1330	985.0
OG1331	3734.0
OG1332	961.0
OG1333	34167.0
OG1334	2581.0
OG1335	2146.0
OG1336	7054.0
OG1337	8678.0
OG1338	707.0
OG1339	1502.0
OG1340	138.0
OG1341	14621.0
OG1342	14709.0
OG1343	18021.0
