OG	sample_6B
OG588	94.0
OG589	636.0
OG590	4300.0
OG591	1792.0
OG592	198.0
OG593	3826.0
OG594	300.0
OG595	6069.0
OG596	53.0
OG597	1025.0
OG598	1302.0
OG599	546.0
OG600	20.0
OG601	757.0
OG602	2612.0
OG603	24.0
OG604	6175.0
OG605	1455.0
OG606	402.0
OG607	1735.0
OG608	52.0
OG609	168.0
OG610	5449.0
OG611	1104.0
OG612	580.0
OG613	55.0
OG614	83.0
OG615	118.0
OG616	1137.0
OG617	12.0
OG618	160.0
OG619	633.0
OG620	455.0
OG621	926.0
OG622	448.0
OG623	340.0
OG624	169.0
OG625	535.0
OG626	159.0
OG627	10382.0
OG628	153.0
OG629	478.0
OG630	323.0
OG631	1782.0
OG632	325.0
OG633	399.0
OG634	1753.0
OG635	1569.0
OG636	639.0
OG637	1138.0
OG638	1106.0
OG639	566.0
OG640	2844.0
OG641	4924.0
OG642	502.0
OG643	1140.0
OG644	76.0
OG645	896.0
OG646	5144.0
OG647	310.0
OG648	350.0
OG649	9.0
OG650	3362.0
OG651	2301.0
OG652	624.0
OG653	232.0
OG654	317.0
OG655	124.0
OG656	32.0
OG657	1214.0
OG658	388.0
OG659	110.0
OG660	814.0
OG661	583.0
OG662	67.0
OG663	2864.0
OG664	282.0
OG665	201.0
OG666	5.0
OG667	10.0
OG668	2299.0
OG669	525.0
OG670	92.0
OG671	25.0
OG672	125.0
OG673	1088.0
OG674	19.0
OG675	314.0
OG676	856.0
OG677	64.0
OG678	8471.0
OG679	113.0
OG680	311.0
OG681	744.0
OG682	2828.0
OG683	531.0
OG684	3534.0
OG685	1937.0
OG686	357.0
OG687	2869.0
OG688	2765.0
OG689	532.0
OG690	815.0
OG691	77.0
OG692	180.0
OG693	2196.0
OG694	90.0
OG695	22.0
OG696	92.0
OG697	50.0
OG698	168.0
OG699	44.0
OG700	127.0
OG701	124.0
OG702	11327.0
OG703	154.0
OG704	10.0
OG705	2.0
OG706	95.0
OG707	743.0
OG708	80.0
OG709	949.0
OG710	298.0
OG711	464.0
OG712	947.0
OG713	1745.0
OG714	1436.0
OG715	17.0
OG716	671.0
OG717	1582.0
OG718	977.0
OG719	1050.0
OG720	162.0
OG721	64.0
OG722	500.0
OG723	179.0
OG724	769.0
OG725	117.0
OG726	845.0
OG727	257.0
OG728	201.0
OG729	131.0
OG730	441.0
OG731	398.0
OG732	16.0
OG733	82.0
OG734	2916.0
OG735	626.0
OG736	1062.0
OG737	422.0
OG738	4.0
OG739	582.0
OG740	1516.0
OG741	3620.0
OG742	1.0
OG743	169.0
OG744	162.0
OG745	597.0
OG746	2038.0
OG747	485.0
OG748	3.0
OG749	3256.0
OG750	1041.0
OG751	232.0
OG752	64.0
OG753	489.0
OG754	670.0
OG755	845.0
OG756	784.0
OG757	3759.0
OG758	2224.0
OG759	1719.0
OG760	704.0
OG761	357.0
OG762	295.0
OG763	87.0
OG764	624.0
OG765	135.0
OG766	16.0
OG767	82.0
OG768	1.0
OG769	605.0
OG770	182.0
OG771	402.0
OG772	1118.0
OG773	3238.0
OG774	226.0
OG775	551.0
OG776	388.0
OG777	202.0
OG778	197.0
OG779	8.0
OG780	42.0
OG781	0.0
OG782	365.0
OG783	56.0
OG784	2125.0
OG785	823.0
OG786	1191.0
OG787	294.0
OG788	1042.0
OG789	89.0
OG790	369.0
OG791	7799.0
OG792	66.0
OG793	30.0
OG794	9.0
OG795	0.0
OG796	1004.0
OG797	3.0
OG798	750.0
OG799	2664.0
OG800	406.0
OG801	2113.0
OG802	919.0
OG803	0.0
OG804	126.0
OG805	54.0
OG806	23.0
OG807	1440.0
OG808	208.0
OG809	648.0
OG810	1235.0
OG811	3562.0
OG812	307.0
OG813	489.0
OG814	204.0
OG815	2032.0
OG816	1276.0
OG817	700.0
OG818	383.0
OG819	1545.0
OG820	568.0
OG821	1361.0
OG822	611.0
OG823	1946.0
OG824	13.0
OG825	4580.0
OG826	528.0
OG827	419.0
OG828	3762.0
OG829	193.0
OG830	48.0
OG831	1832.0
OG832	770.0
OG833	2.0
OG834	223.0
OG835	2519.0
OG836	288.0
OG837	1713.0
OG838	483.0
OG839	0.0
OG840	1370.0
OG841	858.0
OG842	1254.0
OG843	704.0
OG844	2919.0
OG845	175.0
OG846	24797.0
OG847	345.0
OG848	61.0
OG849	0.0
OG850	0.0
OG851	888.0
