OG	sample_6C
OG741	6399.0
OG742	1.0
OG743	252.0
OG744	220.0
OG745	845.0
OG746	2912.0
OG747	629.0
OG748	0.0
OG749	4549.0
OG750	1600.0
OG751	285.0
OG752	120.0
OG753	837.0
OG754	933.0
OG755	1471.0
OG756	1157.0
OG757	4514.0
OG758	3570.0
OG759	2042.0
OG760	1106.0
OG761	516.0
OG762	451.0
OG763	126.0
OG764	884.0
OG765	190.0
OG766	20.0
OG767	95.0
OG768	4.0
OG769	1033.0
OG770	306.0
OG771	622.0
OG772	1646.0
OG773	3885.0
OG774	345.0
OG775	794.0
OG776	472.0
OG777	424.0
OG778	368.0
OG779	13.0
OG780	92.0
OG781	0.0
OG782	448.0
OG783	100.0
OG784	2942.0
OG785	1348.0
OG786	1716.0
OG787	498.0
OG788	1394.0
OG789	106.0
OG790	631.0
OG791	13100.0
OG792	107.0
OG793	59.0
OG794	17.0
OG795	0.0
OG796	1659.0
OG797	9.0
OG798	1043.0
OG799	4534.0
OG800	554.0
OG801	3193.0
OG802	1581.0
OG803	2.0
OG804	180.0
OG805	50.0
OG806	55.0
OG807	2101.0
OG808	353.0
OG809	950.0
OG810	1713.0
OG811	6319.0
OG812	549.0
OG813	634.0
OG814	309.0
OG815	2922.0
OG816	1887.0
OG817	1102.0
OG818	488.0
OG819	2324.0
OG820	796.0
OG821	2025.0
OG822	838.0
OG823	3435.0
OG824	18.0
OG825	6774.0
OG826	530.0
OG827	440.0
OG828	4883.0
OG829	302.0
OG830	62.0
OG831	3069.0
OG832	907.0
OG833	4.0
OG834	332.0
OG835	4437.0
OG836	401.0
OG837	2838.0
OG838	642.0
OG839	0.0
OG840	1660.0
OG841	1359.0
OG842	1781.0
OG843	1052.0
OG844	3844.0
OG845	235.0
OG846	40898.0
OG847	532.0
OG848	116.0
OG849	0.0
OG850	0.0
OG851	1028.0
OG852	2.0
OG853	0.0
OG854	52.0
OG855	0.0
OG856	84.0
OG857	4.0
OG858	104.0
OG859	226.0
OG860	3.0
OG861	157.0
OG862	939.0
OG863	789.0
OG864	836.0
OG865	1853.0
OG866	7169.0
OG867	616.0
OG868	68.0
OG869	0.0
OG870	150.0
OG871	153.0
OG872	995.0
OG873	412.0
OG874	1944.0
OG875	7134.0
OG876	1489.0
OG877	2263.0
OG878	3151.0
OG879	13537.0
OG880	27.0
OG881	607.0
OG882	312.0
OG883	10943.0
OG884	718.0
OG885	2030.0
OG886	27.0
OG887	748.0
OG888	371.0
OG889	532.0
OG890	312.0
OG891	325.0
OG892	157.0
OG893	55.0
OG894	6.0
OG895	3431.0
OG896	106.0
OG897	911.0
OG898	14345.0
OG899	1091.0
OG900	205.0
OG901	999.0
OG902	864.0
OG903	73.0
OG904	0.0
OG905	1628.0
OG906	7192.0
OG907	222.0
OG908	1427.0
OG909	313.0
