Id,log2FoldChange.minusSICOvsAll
OG1394,-0.024
OG1395,1.213
OG1396,0.209
OG1397,0.307
OG1398,1.619
OG1399,0.9940000000000001
OG14,0.28
OG140,0.13699999999999998
OG1400,-0.141
OG1401,0.968
OG1402,-0.41600000000000004
OG1403,0.054000000000000006
OG1404,0.514
OG1405,0.7509999999999999
OG1406,0.917
OG1407,0.26899999999999996
OG1408,0.1
OG1409,-0.555
OG141,-0.16899999999999998
OG1410,-0.633
OG1411,0.44299999999999995
OG1412,0.312
OG1413,0.693
OG1414,-0.091
OG1415,0.36700000000000005
OG1416,0.7609999999999999
OG1417,1.157
OG1418,1.281
OG1419,-0.529
OG142,-0.063
OG1420,0.20199999999999999
OG1421,0.027999999999999997
OG1422,-0.012
OG1423,0.8029999999999999
OG1424,0.7659999999999999
OG1425,0.893
OG1426,0.597
OG1427,0.387
OG1428,0.49200000000000005
OG1429,-0.265
OG143,
OG1430,-0.26899999999999996
OG1431,0.027000000000000003
OG1432,0.268
OG1433,-0.10099999999999999
OG1434,0.716
OG1435,-0.263
OG1436,-0.075
OG1437,-0.022000000000000002
OG1438,-0.727
OG1439,0.8
OG144,-0.617
OG1440,1.2109999999999999
OG1441,0.6579999999999999
OG1442,-0.675
OG1443,-0.191
OG1444,0.53
OG1445,0.419
OG1446,0.047
OG1447,-0.306
OG1448,0.09699999999999999
OG1449,-0.34700000000000003
OG145,0.629
OG1450,0.26899999999999996
OG1451,0.27899999999999997
OG1452,0.32299999999999995
OG1453,0.073
OG1454,0.018000000000000002
OG1455,0.20199999999999999
OG1456,0.363
OG1457,-0.114
OG1458,0.157
OG1459,-0.294
OG146,0.358
OG1460,0.395
OG1461,0.11900000000000001
OG1462,-0.013999999999999999
OG1463,0.20199999999999999
OG1464,-0.027000000000000003
OG1465,0.122
OG1466,0.507
OG1467,0.657
OG1468,0.596
OG1469,-0.31
OG147,-10.038
OG1470,-0.035
OG1471,0.406
OG1472,0.10099999999999999
OG1473,-0.20600000000000002
OG1474,-0.28600000000000003
OG1475,0.73
OG1476,0.39799999999999996
OG1477,0.043
OG1478,0.32799999999999996
OG1479,0.349
OG148,-1.127
OG1480,-0.287
OG1481,-0.047
OG1482,0.317
OG1483,-0.205
OG1484,0.336
OG1485,0.142
OG1486,-0.105
OG1487,0.128
OG1488,-0.10300000000000001
OG1489,0.765
OG149,-5.105
OG1490,0.878
OG1491,0.348
OG1492,0.15
OG1493,0.38799999999999996
OG1494,1.433
OG1495,-0.645
OG1496,-0.053
OG1497,0.667
OG1498,-0.382
OG1499,-0.040999999999999995
OG15,0.366
OG150,0.0
OG1500,0.434
OG1501,-0.086
OG1502,0.335
OG1503,-0.39799999999999996
OG1504,0.40700000000000003
OG1505,-0.34
OG1506,0.14
OG1507,0.581
OG1508,0.377
OG1509,0.079
OG151,-0.9
OG1510,-0.10099999999999999
OG1511,0.289
OG1512,-0.358
OG1513,0.386
OG1514,0.6890000000000001
OG1515,0.58
OG1516,0.062
OG1517,-0.353
OG1518,0.435
OG1519,0.098
OG152,-0.502
OG1520,0.311
OG1521,0.35100000000000003
OG1522,0.24100000000000002
OG1523,0.205
OG1524,-0.259
OG1525,0.345
OG1526,1.023
OG1527,-0.192
OG1528,-0.157
OG1529,0.596
OG153,-1.127
OG1530,0.192
OG1531,0.27699999999999997
OG1532,0.55
OG1533,-0.253
OG1534,0.34
OG1535,0.249
OG1536,-0.013999999999999999
OG1537,0.11900000000000001
OG1538,0.204
OG1539,-0.214
OG154,0.048
OG1540,0.37
OG1541,-0.057
OG1542,0.081
OG1543,0.079
OG1544,-0.113
OG1545,0.312
OG1546,0.218
OG1547,0.319
OG1548,0.599
OG1549,0.872
OG155,-0.09
OG1550,0.958
OG1551,1.05
OG1552,0.10099999999999999
OG1553,2.6069999999999998
OG1554,-0.092
OG1555,0.242
OG1556,-0.10300000000000001
OG1557,-0.177
OG1558,0.644
OG1559,0.413
OG156,-0.083
OG1560,0.086
OG1561,0.495
OG1562,0.951
OG1563,0.17
OG1564,0.9420000000000001
OG1565,0.157
OG1566,-0.017
OG1567,0.655
OG1568,0.623
OG1569,0.826
OG157,-3.321
OG1570,-0.37200000000000005
OG1571,-0.131
OG1572,0.124
OG1573,0.13699999999999998
OG1574,0.14400000000000002
OG1575,1.195
OG1576,0.423
OG1577,-0.053
OG1578,0.43200000000000005
OG1579,-0.596
OG158,0.207
OG1580,0.10099999999999999
OG1581,0.48100000000000004
OG1582,-0.249
OG1583,-0.195
OG1584,-0.308
OG1585,0.005
OG1586,-0.139
OG1587,0.033
OG1588,0.56
OG1589,0.35100000000000003
OG159,0.266
OG1590,0.715
OG1591,0.33399999999999996
OG1592,0.9890000000000001
OG1593,0.235
OG1594,0.11699999999999999
OG1595,0.7659999999999999
OG1596,0.16899999999999998
OG1597,0.4
OG1598,0.131
OG1599,0.5920000000000001
OG16,-3.4219999999999997
OG160,-0.265
OG1600,0.027999999999999997
OG1601,0.396
OG1602,-0.11900000000000001
OG1603,0.591
OG1604,0.11699999999999999
OG1605,0.899
OG1606,-0.6459999999999999
OG1607,0.15
OG1608,0.33799999999999997
OG1609,-0.08
OG161,-1.1909999999999998
OG1610,0.991
OG1611,0.044000000000000004
OG1612,0.292
OG1613,0.08
OG1614,0.457
OG1615,0.867
OG1616,1.001
OG1617,1.2819999999999998
OG1618,0.35600000000000004
OG1619,-0.075
OG162,0.851
OG1620,0.578
OG1621,0.39299999999999996
OG1622,-0.139
OG1623,0.467
OG1624,-0.604
OG1625,0.191
OG1626,0.49200000000000005
OG1627,0.29100000000000004
OG1628,0.045
OG1629,-0.9590000000000001
OG163,-1.944
OG1630,0.145
OG1631,0.737
OG1632,-0.17300000000000001
OG1633,-0.326
OG1634,1.0390000000000001
OG1635,-0.292
OG1636,0.124
OG1637,0.10800000000000001
OG1638,-0.188
OG1639,0.552
OG164,0.0
OG1640,0.429
OG1641,0.377
OG1642,0.19
OG1643,-0.18
OG1644,0.903
OG1645,0.05
OG1646,0.621
OG1647,-0.135
OG1648,0.363
OG1649,0.429
OG165,-0.48
OG1650,0.276
OG1651,-0.066
OG1652,-0.488
OG1653,0.562
OG1654,0.9129999999999999
OG1655,-0.266
OG1656,0.6509999999999999
OG1657,-0.033
OG1658,0.527
OG1659,1.075
OG166,-0.062
OG1660,0.613
OG1661,0.486
OG1662,1.506
OG1663,0.473
OG1664,-0.685
OG1665,0.16699999999999998
OG1666,-0.162
OG1667,0.491
OG1668,0.311
OG1669,-0.018000000000000002
OG167,0.11900000000000001
OG1670,0.35200000000000004
OG1671,0.381
OG1672,0.856
OG1673,0.14800000000000002
OG1674,0.285
OG1675,-0.018000000000000002
OG1676,0.9059999999999999
OG1677,-0.172
OG1678,0.21100000000000002
