Id,log2FoldChange.minusSTvsAll
OG1451,0.077
OG1452,0.07200000000000001
OG1453,-0.048
OG1454,-0.077
OG1455,-0.188
OG1456,0.22
OG1457,0.255
OG1458,0.18899999999999997
OG1459,0.18
OG146,0.263
OG1460,0.025
OG1461,-0.223
OG1462,0.011000000000000001
OG1463,0.317
OG1464,0.46399999999999997
OG1465,-0.047
OG1466,0.371
OG1467,0.425
OG1468,0.23
OG1469,-0.748
OG147,-0.387
OG1470,-0.10800000000000001
OG1471,0.5489999999999999
OG1472,0.5529999999999999
OG1473,-1.024
OG1474,0.017
OG1475,0.611
OG1476,0.35600000000000004
OG1477,0.24600000000000002
OG1478,0.19899999999999998
OG1479,0.732
OG148,-0.46799999999999997
OG1480,-0.46799999999999997
OG1481,0.102
OG1482,0.361
OG1483,0.055
OG1484,0.265
OG1485,0.379
OG1486,-0.25
OG1487,0.37
OG1488,-0.128
OG1489,0.5660000000000001
OG149,0.02
OG1490,0.748
OG1491,-0.61
OG1492,0.408
OG1493,0.131
OG1494,1.034
OG1495,-0.256
OG1496,0.828
OG1497,-0.028999999999999998
OG1498,-0.7390000000000001
OG1499,0.051
OG15,-0.013999999999999999
OG150,0.494
OG1500,0.48100000000000004
OG1501,-0.345
OG1502,0.048
OG1503,-0.68
OG1504,0.021
OG1505,-0.282
OG1506,0.33299999999999996
OG1507,0.249
OG1508,0.008
OG1509,0.132
OG151,0.835
OG1510,-0.196
OG1511,0.15
OG1512,0.223
OG1513,0.257
OG1514,0.34
OG1515,0.573
OG1516,0.516
OG1517,-0.342
OG1518,0.336
OG1519,-0.662
OG152,0.129
OG1520,0.449
OG1521,0.184
OG1522,-0.379
OG1523,0.055999999999999994
OG1524,-0.17300000000000001
OG1525,-0.008
OG1526,1.081
OG1527,-0.11
OG1528,-0.318
OG1529,0.028999999999999998
OG153,-1.43
OG1530,-0.083
OG1531,0.009000000000000001
OG1532,0.127
OG1533,-0.174
OG1534,-0.019
OG1535,0.247
OG1536,-0.24600000000000002
OG1537,-0.152
OG1538,0.254
OG1539,0.005
OG154,0.564
OG1540,0.257
OG1541,0.345
OG1542,0.354
OG1543,0.195
OG1544,-0.315
OG1545,0.415
OG1546,0.603
OG1547,0.247
OG1548,0.242
OG1549,0.526
OG155,0.14800000000000002
OG1550,0.682
OG1551,0.909
OG1552,0.215
OG1553,1.92
OG1554,-0.24100000000000002
OG1555,-0.152
OG1556,-0.21899999999999997
OG1557,0.11900000000000001
OG1558,0.413
OG1559,0.011000000000000001
OG156,-1.415
OG1560,0.009000000000000001
OG1561,0.147
OG1562,1.368
OG1563,0.419
OG1564,0.47200000000000003
OG1565,0.155
OG1566,-0.298
OG1567,0.46799999999999997
OG1568,0.249
OG1569,1.012
OG157,-0.289
OG1570,-0.358
OG1571,-0.47100000000000003
OG1572,0.424
OG1573,-0.016
OG1574,0.019
OG1575,0.727
OG1576,0.094
OG1577,0.036000000000000004
OG1578,0.26
OG1579,0.305
OG158,0.43
OG1580,-0.084
OG1581,0.336
OG1582,-0.10099999999999999
OG1583,-0.131
OG1584,-0.32799999999999996
OG1585,-0.215
OG1586,-0.17800000000000002
OG1587,-0.111
OG1588,0.109
OG1589,-0.28800000000000003
OG159,-0.955
OG1590,1.072
OG1591,0.8029999999999999
OG1592,0.396
OG1593,0.109
OG1594,-0.01
OG1595,1.006
OG1596,-0.021
OG1597,0.332
OG1598,0.34600000000000003
OG1599,0.48700000000000004
OG16,-0.94
OG160,-0.47200000000000003
OG1600,0.16899999999999998
OG1601,0.326
OG1602,-0.565
OG1603,0.41700000000000004
OG1604,-0.185
OG1605,1.107
OG1606,-0.96
OG1607,-0.105
OG1608,0.21
OG1609,-0.14800000000000002
OG161,-0.763
OG1610,1.421
OG1611,0.19
OG1612,0.319
OG1613,0.12
OG1614,0.095
OG1615,1.472
OG1616,0.67
OG1617,1.9180000000000001
OG1618,0.951
OG1619,-0.204
OG162,0.866
OG1620,0.54
OG1621,0.215
OG1622,-0.289
OG1623,0.16899999999999998
OG1624,-0.369
OG1625,0.159
OG1626,0.659
OG1627,0.23
OG1628,0.253
OG1629,-0.311
OG163,0.24100000000000002
OG1630,-0.105
OG1631,0.43700000000000006
OG1632,-0.071
OG1633,-0.515
OG1634,0.7240000000000001
OG1635,-0.386
OG1636,0.177
OG1637,-0.042
OG1638,-0.171
OG1639,0.21600000000000003
OG164,1.256
OG1640,0.331
OG1641,0.375
OG1642,0.337
OG1643,0.083
OG1644,0.512
OG1645,0.021
OG1646,0.336
OG1647,-0.10800000000000001
OG1648,0.89
OG1649,0.7759999999999999
OG165,-0.247
OG1650,-0.168
OG1651,0.177
OG1652,-0.29100000000000004
OG1653,0.284
OG1654,0.54
OG1655,0.688
OG1656,0.414
OG1657,-0.006999999999999999
OG1658,0.262
OG1659,-0.105
OG166,-0.24
OG1660,-0.062
OG1661,0.124
OG1662,-0.183
OG1663,0.735
